Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleC10.mzML
O94856-11	O94856;O94856-10;O94856-11;O94856-12;O94856-13;O94856-3;O94856-4;O94856-5;O94856-6;O94856-7;O94856-8;O94856-9				6.24646e+06
O94898	O94898				337739
O94910;O94910-2	O94910;O94910-2				1.48039e+06
O94919	O94919				1.07094e+07
O94933	O94933				347950
O94985	O94985				1.08126e+06
O94985-2	O94985;O94985-2				4.64717e+07
O94991	O94991;O94991-2				780154
O95084;O95084-2	O95084;O95084-2				252903
O95157	O95157				231302
O95158	O95158				5.75685e+06
O95159	O95159				120779
O95185;O95185-2	O95185;O95185-2				764876
O95196;O95196-2	O95196;O95196-2				1.93308e+06
O95206;O95206-2	O95206;O95206-2				1.4419e+06
O95297;O95297-2;O95297-3;O95297-4	O95297;O95297-2;O95297-3;O95297-4				357411
O95390	O95390				331225
O95428;O95428-5;O95428-6	O95428;O95428-3;O95428-4;O95428-5;O95428-6				1.88416e+06
O95445	O95445;O95445-2				1.72695e+07
O95450;O95450-2	O95450;O95450-2				709330
O95467	O95467				495779
O95477	O95477				4.82859e+06
O95479;O95479-2	O95479;O95479-2				578829
O95497	O95497				2.21973e+06
O95502	O95502				1.18787e+07
O95747	O95747				17405.6
O95841	O95841				323034
O95865	O95865				550955
O95897	O95897				326365
O95967	O95967				2.8302e+06
O95970;O95970-3	O95970;O95970-3				171845
O95980	O95980				3.48917e+06
O95998	O95998				122214
P00338;P00338-3	P00338;P00338-3;P00338-4				2.83515e+06
P00352	P00352				127889
P00390;P00390-2;P00390-3;P00390-4;P00390-5	P00390;P00390-2;P00390-3;P00390-4;P00390-5				687381
P00441	P00441				8.39018e+07
P00450	P00450				1.14338e+08
P00488	P00488				2.69408e+06
P00492	P00492				760293
P00505	P00505;P00505-2				2.13599e+06
P00533;P00533-3;P00533-4	P00533;P00533-3;P00533-4				576524
P00558;P00558-2	P00558;P00558-2				1.49936e+06
P00568	P00568				296600
P00734	P00734				1.90176e+07
P00736	P00736				3.7542e+07
P00738	P00738;P00738-2				2.0257e+08
P00739	P00739;P00739-2				1.18717e+08
P00740;P00740-2	P00740;P00740-2				1.36211e+06
P00742	P00742				6.65203e+06
P00746	P00746				1.299e+07
P00747	P00747				8.17042e+07
P00748	P00748				2.4565e+07
P00751	P00751;P00751-2				8.58562e+07
P00915	P00915				401278
P01008	P01008				2.7538e+08
P01009	P01009;P01009-2;P01009-3				8.00861e+08
P01011	P01011				5.42238e+08
P01019	P01019				1.61602e+08
P01023	P01023				1.14213e+08
P01024	P01024				3.16766e+08
P01031	P01031				1.17025e+07
P01033	P01033				3.37302e+07
P01034	P01034				1.04619e+09
P01036;P01037	P01036;P01037				412966
P01042	P01042;P01042-2;P01042-3				3.17197e+08
P01042-2;P01042-3	P01042-2;P01042-3				5.99335e+07
P01127;P01127-2	P01127;P01127-2				8.19517e+06
P01130;P01130-2;P01130-3;P01130-4;P01130-5;P01130-6	P01130;P01130-2;P01130-3;P01130-4;P01130-5;P01130-6				219571
P01210	P01210				3.08133e+07
P01213	P01213				792007
P01236	P01236				300696
P01258;P01258-2;P06881	P01258;P06881;P10092;P01258-2				282314
P01303	P01303				1.32657e+06
P01344;P01344-2;P01344-3	P01344;P01344-2;P01344-3				1.11963e+07
P01591	P01591				8.55409e+06
P01593;P01594	P01593;P01594				5.00809e+07
