Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampled09.mzML
O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7	O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7				724095
O95497	O95497				4.21091e+06
O95502	O95502				5.07948e+07
O95747	O95747				175246
O95841	O95841				864319
O95865	O95865				1.33094e+06
O95881	O95881				475980
O95967	O95967				5.03407e+06
O95970;O95970-3	O95970;O95970-3				331103
O95980	O95980				5.45303e+06
O95989	O95989				1.74965e+06
P00338;P00338-3	P00338;P00338-3;P00338-4				4.97346e+06
P00352	P00352				315509
P00390;P00390-2;P00390-3	P00390;P00390-2;P00390-3;P00390-4;P00390-5				2.74133e+06
P00441	P00441				1.71999e+08
P00450	P00450				3.11602e+08
P00488	P00488				5.26213e+06
P00492	P00492				1.46945e+06
P00505	P00505;P00505-2				3.10224e+06
P00533;P00533-3;P00533-4	P00533;P00533-3;P00533-4				1.12557e+06
P00558	P00558;P00558-2				4.84905e+06
P00568	P00568				920314
P00734	P00734				5.18702e+07
P00736	P00736				1.05564e+08
P00738	P00738;P00738-2				6.2967e+08
P00739	P00739;P00739-2				3.45122e+08
P00740;P00740-2	P00740;P00740-2				4.16532e+06
P00742	P00742				1.43563e+07
P00746	P00746				2.76827e+07
P00747	P00747				1.28019e+08
P00748	P00748				1.61147e+08
P00751	P00751;P00751-2				1.51086e+08
P00915	P00915				1.13409e+06
P00918	P00918				363076
P01008	P01008				1.11959e+09
P01009	P01009;P01009-2;P01009-3				4.60259e+09
P01011	P01011				2.08119e+09
P01019	P01019				1.88437e+08
P01023	P01023				4.72708e+08
P01024	P01024				9.59277e+08
P01031	P01031				4.10629e+07
P01033	P01033				6.0342e+07
P01034	P01034				6.04822e+09
P01036;P01037	P01036;P01037				1.12174e+06
P01042	P01042;P01042-2;P01042-3				6.6045e+08
P01042-2;P01042-3	P01042-2;P01042-3				1.68012e+08
P01127;P01127-2	P01127;P01127-2				2.70356e+07
P01130;P01130-2;P01130-3;P01130-4;P01130-5;P01130-6	P01130;P01130-2;P01130-3;P01130-4;P01130-5;P01130-6				420794
P01210	P01210				3.79957e+07
P01213	P01213				4.23098e+06
P01236	P01236				452267
P01258;P01258-2;P06881	P01258;P06881;P10092;P01258-2				617094
P01303	P01303				5.06387e+06
P01344;P01344-2;P01344-3	P01344;P01344-2;P01344-3				6.63844e+07
P01591	P01591				1.92384e+07
P01593;P01594	P01593;P01594				2.95081e+07
P01597;P04432	P01597;P01611;P04432;A0A0C4DH72;A0A0C4DH73				1.88291e+07
P01599	P01599;A0A0C4DH72				1.63821e+07
P01602	P01602				1.22576e+06
P01619	P01619				4.08291e+08
P01700	P01700				6.58623e+07
P01701	P01701				3.3308e+07
P01705	P01705				4.85554e+06
P01706	P01706;P01709;P0DOX8				1.39227e+07
P01709	P01709				3.73025e+06
P01714	P01714				8.14011e+06
P01715	P01715				1.84057e+06
P01718	P01717;P01718				5.54438e+07
P01721	P01721				5.45464e+06
P01742	P01742				9.69008e+06
P01743	P01743				234994
P01768;P0DP03	P01768;P01772;P0DP02;P0DP03				3.66081e+07
P01780	P01780				1.00906e+08
P01814	P01814				1.95606e+06
P01817	P01817				8.26718e+06
P01833	P01833				731919
P01834	P01834				1.23849e+08
P01859;P01859-1	P01859;P01859-1				7.17657e+08
P01860;P01860-1	P01860;P01860-1				1.99058e+08
