Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleD07.mzML
Q5FWE3;Q5FWE3-3	Q5FWE3;Q5FWE3-3				1.41513e+07
Q5IJ48;Q5IJ48-2;Q5IJ48-3	Q5IJ48;Q5IJ48-2;Q5IJ48-3				2.59178e+06
Q5JRA6;Q5JRA6-2	Q5JRA6;Q5JRA6-2;Q5JRA6-3				1.29693e+06
Q5JTV8;Q5JTV8-3	Q5JTV8;Q5JTV8-3				331917
Q5JZY3;Q5JZY3-2;Q5JZY3-3	Q5JZY3;Q5JZY3-2;Q5JZY3-3				4.55872e+06
Q5KU26	Q5KU26				8.05965e+06
Q5R3F8	Q5R3F8				701102
Q5SRI9	Q5SRI9				1.1095e+06
Q5SZI1	Q5SZI1				1.34309e+06
Q5SZK8	Q5SZK8;Q5SZK8-2				875053
Q5T013;Q5T013-2;Q5T013-3;Q5T013-4	Q5T013;Q5T013-2;Q5T013-3;Q5T013-4				1.60586e+08
Q5T848	Q5T848				3.58311e+06
Q5VSG8	Q5VSG8				2.50201e+06
Q5VSL9;Q5VSL9-2;Q5VSL9-3	Q5VSL9;Q5VSL9-2;Q5VSL9-3				1.22648e+06
Q5VU97	Q5VU97				7.29683e+06
Q5VUB5	Q5VUB5				1.88208e+06
Q5VV43;Q5VV43-2;Q5VV43-4	Q5VV43;Q5VV43-2;Q5VV43-4				2.86641e+06
Q5VV63	Q5VV63				2.2449e+06
Q5VWW1;Q5VWW1-2;Q5VWW1-3	Q5VWW1;Q5VWW1-2;Q5VWW1-3				1.51333e+06
Q63HQ2;Q63HQ2-2	Q63HQ2;Q63HQ2-2				465413
Q641Q3;Q641Q3-2	Q641Q3;Q641Q3-2				3.45823e+06
Q658N2	Q658N2				7.25818e+06
Q68BL7;Q68BL7-2;Q68BL7-3	Q68BL7;Q68BL7-2;Q68BL7-3				3.18621e+06
Q68D85	Q68D85				1.28359e+06
Q6E0U4-16;Q6E0U4-2;Q6E0U4-5;Q6E0U4-6	Q6E0U4;Q6E0U4-16;Q6E0U4-2;Q6E0U4-3;Q6E0U4-4;Q6E0U4-5;Q6E0U4-6;Q6E0U4-7				977974
Q6EMK4	Q6EMK4				6.97895e+06
Q6FHJ7	Q6FHJ7				3.90573e+06
Q6IBS0	Q6IBS0				291880
Q6IEE7	Q6IEE7				1.11605e+06
Q6IS24	Q6IS24				4.2752e+06
Q6ISS4;Q6ISS4-2	Q6GTX8;Q6ISS4;Q6GTX8-2;Q6GTX8-3;Q6GTX8-4;Q6ISS4-2				2.67015e+06
Q6JBY9;Q6JBY9-2	Q6JBY9;Q6JBY9-2				84451.6
Q6MZW2	Q6MZW2;Q6MZW2-2;Q6MZW2-3				2.95952e+07
Q6NUJ2	Q6NUJ2				186945
Q6NW40	Q6NW40				2.85351e+07
Q6P4E1;Q6P4E1-5	Q6P4E1;Q6P4E1-2;Q6P4E1-5				7.542e+06
Q6P587;Q6P587-2;Q6P587-3	Q6P587;Q6P587-2;Q6P587-3				363211
Q6P9A2	Q6P9A2				2.79298e+06
Q6PCB0	Q6PCB0				477035
Q6RVD6	Q6RVD6				800902
Q6UVK1	Q6UVK1				5.82065e+06
Q6UVY6;Q6UVY6-2	Q6UVY6;Q6UVY6-2				1.74435e+06
Q6UW01	Q6UW01				2.39637e+07
Q6UWH4;Q6UWH4-2	Q6UWH4;Q6UWH4-2;Q6UWH4-3				2.26119e+06
Q6UWN8	Q6UWN8				50493.4
Q6UWR7	Q6UWR7				2.24263e+06
Q6UWY5	Q6UWY5				784754
Q6UX15;Q6UX15-2	Q6UX15;Q6UX15-2				2.44883e+06
Q6UX71	Q6UX71;Q6UX71-2				5.12682e+07
Q6UX72	Q6UX72				1.92084e+06
Q6UX73;Q6UX73-2	Q6UX73;Q6UX73-2				2.13974e+07
Q6UXB8	Q6UXB8;Q6UXB8-2				1.18289e+07
Q6UXD5-3;Q6UXD5-5;Q6UXD5-6	Q6UXD5;Q6UXD5-2;Q6UXD5-3;Q6UXD5-4;Q6UXD5-5;Q6UXD5-6				2.28909e+07
Q6UXF1;Q6UXF1-2	Q6UXF1;Q6UXF1-2				354285
Q6UXH9;Q6UXH9-2	Q6UXH9;Q6UXH9-2;Q6UXH9-3				1.19958e+06
Q6UXI9;Q6UXI9-3;Q6UXI9-4;Q6UXI9-5;Q6UXI9-6	Q6UXI9;Q6UXI9-2;Q6UXI9-3;Q6UXI9-4;Q6UXI9-5;Q6UXI9-6				1.99262e+06
Q6UXK2	Q6UXK2				2.58082e+06
Q6UXK5	Q6UXK5				2.32382e+06
Q6UXZ4;Q6UXZ4-2	Q6UXZ4;Q6UXZ4-2				589239
Q6YHK3	Q6YHK3;Q6YHK3-2;Q6YHK3-4				2.18223e+06
Q6ZMI3	Q6ZMI3;Q6ZMI3-2				7.1134e+06
Q6ZMP0;Q6ZMP0-2	Q6ZMP0;Q6ZMP0-2				5.91915e+06
Q6ZN30;Q6ZN30-2	Q6ZN30;Q6ZN30-2				3.86688e+06
Q6ZN44;Q6ZN44-2	Q6ZN44;Q6ZN44-2				590065
Q6ZRI8;Q6ZRI8-2;Q6ZRI8-3;Q6ZRI8-4;Q6ZRI8-5	Q6ZRI8;Q6ZRI8-2;Q6ZRI8-3;Q6ZRI8-4;Q6ZRI8-5				345284
Q6ZRP7	Q6ZRP7				5.50841e+06
Q6ZSJ9;Q6ZSJ9-2;Q6ZSJ9-3	Q6ZSJ9;Q6ZSJ9-2;Q6ZSJ9-3				1.91073e+07
Q6ZVL6;Q6ZVL6-2	Q6ZVL6;Q6ZVL6-2				2.40219e+06
Q70JA7	Q70JA7				405931
Q71H61	Q71H61				333618
Q76KP1	Q76KP1				910453
Q7KYR7;Q7KYR7-1;Q7KYR7-4;Q7KYR7-6;Q8WVV5;Q8WVV5-2;Q8WVV5-3	Q7KYR7;Q8WVV5;Q7KYR7-4;Q7KYR7-1;Q7KYR7-5;Q7KYR7-6;Q8WVV5-2;Q8WVV5-3				1.12401e+06
Q7L014	Q7L014				5.60793e+07
Q7L0X0	Q7L0X0				1.36178e+06
Q7L985	Q7L985				5.502e+06
Q7LFX5	Q7LFX5				3.49659e+06
Q7LGC8	Q7LGC8				2.01805e+06
Q7Z304	Q7Z304				620577
Q7Z3B1	Q7Z3B1;Q7Z3B1-2				4.07373e+07
Q7Z3D4	Q7Z3D4				1.67432e+06
Q7Z408;Q7Z408-4	Q7Z408;Q7Z408-4				167637
Q7Z553;Q7Z553-3	Q7Z553;Q7Z553-2;Q7Z553-3				2.47058e+06
Q7Z5A7;Q7Z5A7-2	Q7Z5A7;Q7Z5A7-2				7.04276e+06
Q7Z5B4;Q7Z5B4-2;Q7Z5B4-5;Q7Z5B4-6	Q7Z5B4;Q7Z5B4-5;Q7Z5B4-2;Q7Z5B4-6				432925
Q7Z5L0	Q7Z5L0				1.96594e+06
Q7Z5L3	Q7Z5L3				2.07005e+06
