Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleB01.mzML
O75509	O75509				9.80864e+06
O75594	O75594				191882
O75629	O75629				1.15099e+06
O75636;O75636-2	O75636;O75636-2				386773
O75752	O75752				1.15947e+06
O75781;O75781-2	O75781;O75781-2				1.35677e+06
O75787;O75787-2	O75787;O75787-2				2.99401e+06
O75828	O75828				1.59558e+06
O75874	O75874				763034
O75882-2;O75882-3	O75882;O75882-2;O75882-3				5.01738e+06
O75973	O75973				190466
O75976	O75976				590606
O76031	O76031				1.61868e+06
O76061	O76061				1.16593e+06
O76070	O76070				900573
O94760	O94760;O94760-2				3.36172e+06
O94766;O94766-2	O94766;O94766-2				574868
O94769	O94769;O94769-2				3.67076e+06
O94772;O94772-2	O94772;O94772-2				9.4296e+06
O94779;O94779-2	O94779;O94779-2				466780
O94856;O94856-11;O94856-13;O94856-6;O94856-7	O94856;O94856-10;O94856-11;O94856-12;O94856-13;O94856-3;O94856-4;O94856-5;O94856-6;O94856-7;O94856-8;O94856-9				9.37251e+06
O94898	O94898				498141
O94910	O94910;O94910-2				3.49399e+06
O94919	O94919				1.3723e+07
O94933	O94933				1.47373e+06
O94973;O94973-2	O94973;O94973-2				27902
O94985	O94985				891036
O94985-2	O94985;O94985-2				1.46192e+08
O94991	O94991;O94991-2				2.14743e+06
O95084;O95084-2	O95084;O95084-2				795646
O95157	O95157				1.42094e+06
O95158	O95158				1.07321e+07
O95159	O95159				458236
O95185;O95185-2	O95185;O95185-2				467955
O95196;O95196-2	O95196;O95196-2				3.37726e+06
O95206;O95206-2	O95206;O95206-2				1.44097e+06
O95292	O95292;Q9P0L0;O95292-2;Q9P0L0-2				1.37196e+06
O95297;O95297-2;O95297-3;O95297-4	O95297;O95297-2;O95297-3;O95297-4				543385
O95336	O95336				535738
O95390	O95390				1.48458e+06
O95428;O95428-5;O95428-6	O95428;O95428-3;O95428-4;O95428-5;O95428-6				3.87612e+06
O95445	O95445;O95445-2				1.53671e+07
O95450;O95450-2	O95450;O95450-2				1.17349e+06
O95467	O95467				804165
O95477	O95477				2.40688e+06
O95479;O95479-2	O95479;O95479-2				532069
O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7	O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7				353437
O95497	O95497				610160
O95502	O95502				1.00239e+08
O95633;O95633-2	O95633;O95633-2				1.03838e+06
O95841	O95841				560531
O95865	O95865				1.2876e+06
O95897	O95897				415870
O95967	O95967				6.03866e+06
O95970;O95970-3	O95970;O95970-3				147057
O95980	O95980				4.75264e+06
O95998	O95998				116758
P00338;P00338-3	P00338;P00338-3;P00338-4				4.92054e+06
P00352	P00352				511847
P00390;P00390-2;P00390-3;P00390-4;P00390-5	P00390;P00390-2;P00390-3;P00390-4;P00390-5				1.00572e+06
P00441	P00441				1.62215e+08
P00450	P00450				8.62289e+07
P00488	P00488				549715
P00492	P00492				1.20809e+06
P00505;P00505-2	P00505;P00505-2				2.4122e+06
P00533;P00533-3;P00533-4	P00533;P00533-2;P00533-3;P00533-4				873355
P00558	P00558;P00558-2				1.80765e+06
P00568	P00568				590578
P00734	P00734				3.03062e+07
P00736	P00736				5.72083e+07
P00738	P00738;P00738-2				1.67807e+08
P00739	P00739;P00739-2				1.06514e+08
P00740;P00740-2	P00740;P00740-2				1.42601e+06
P00742	P00742				4.61801e+06
P00746	P00746				1.88605e+08
P00747	P00747				8.94705e+07
P00748	P00748				5.57716e+07
P00751	P00751;P00751-2				6.78619e+07
P00915	P00915				1.0229e+06
P00918	P00918				86362
P01008	P01008				2.61188e+08
P01009	P01009;P01009-2;P01009-3				1.55738e+09
P01011	P01011				4.26253e+08
P01019	P01019				2.67198e+08
P01023	P01023				2.06396e+08
P01024	P01024				4.04561e+08
P01031	P01031				1.50042e+07
P01033	P01033				4.54337e+07
P01034	P01034				1.66791e+09
P01036	P01036				889689
P01042	P01042;P01042-2;P01042-3				3.67974e+08
P01042-2;P01042-3	P01042-2;P01042-3				5.59826e+07
P01127;P01127-2	P01127;P01127-2				1.3631e+07
P01160	P01160				288001
P01210	P01210				3.23732e+07
P01213	P01213				2.38957e+06
P01236	P01236				142916
P01258;P01258-2;P06881	P01258;P06881;P01258-2				347028
P01303	P01303				2.69075e+06
P01344;P01344-2;P01344-3	P01344;P01344-2;P01344-3				1.50317e+07
P01591	P01591				9.02173e+06
P01593;P01594	P01593;P01594				4.90431e+06
P01597;P04432	P01597;P01611;P04432;A0A0C4DH72;A0A0C4DH73				3.17507e+08
P01599	P01599;A0A0C4DH72				5.09331e+06
P01602	P01602				100825
P01619	P01619				1.16881e+08
P01700	P01700				2.00219e+07
P01705	P01704;P01705				5.28624e+06
P01709	P01706;P01709;P0DOX8				1.26922e+07
P01714	P01714				1.99921e+06
P01717	P01717				7.40334e+06
P01721	P01721				1.58875e+06
P01742	P01742				358465
P01768;P0DP03	P01768;P01772;P0DP02;P0DP03				1.26054e+07
P01780	P01780				5.68997e+07
P01817	P01817				2.12713e+06
P01833	P01833				429602
P01834	P01834				2.13436e+08
P01859;P01859-1	P01859;P01859-1				4.63068e+08
P01860;P01860-1	P01860;P01860-1				6.47406e+07
P01861;P01861-1	P01861;P01861-1				1.97477e+08
P01871;P01871-1	P01871;P0DOX6;P01871-1				2.23117e+07
P01876;P01876-1	P01876;P01876-1				7.19679e+08
P01889	P01889;P01893;P04439;P13747;P17693;P17693-2;P17693-5;P17693-6;P04439-2				5.08841e+06
P01903	P01903;P01906				986902
P01911	P01911				1.96478e+06
P02042	P02042				429037
P02144	P02144				578746
P02452	P02452				1.1199e+07
P02461	P02461;P02461-2				1.16265e+06
P02462	P02462				1.56678e+06
P02647	P02647				1.15625e+09
P02649	P02649				1.59556e+09
P02652	P02652				2.00371e+08
P02654	P02654				2.91853e+07
P02655	P02655				6.08328e+06
P02656	P02656				3.23499e+07
P02671	P02671;P02671-2				7.01203e+07
P02675	P02675				2.34038e+08
P02679;P02679-2	P02679;P02679-2				7.64278e+07
P02686;P02686-3;P02686-4;P02686-5;P02686-6	P02686;P02686-3;P02686-4;P02686-5;P02686-6				69666.8
P02741	P02741;P02741-2				2.33716e+06
P02743	P02743				7.29861e+06
P02745	P02745				2.85216e+07
P02746	P02746				4.43094e+07
P02747	P02747				7.34195e+07
P02748	P02748				3.80011e+07
P02749	P02749				6.88028e+07
P02750	P02750				7.14177e+07
P02751;P02751-1	P02751;P02751-1;P02751-10;P02751-11;P02751-12;P02751-13;P02751-14;P02751-16;P02751-17;P02751-2;P02751-3;P02751-4;P02751-5;P02751-6;P02751-7;P02751-8;P02751-9				1.29458e+08
P02753	P02753				4.18268e+07
P02760	P02760				4.37227e+07
P02763	P02763				1.47357e+09
P02765	P02765				1.11929e+08
P02766	P02766				1.96661e+09
P02768	P02768				6.80307e+09
P02774;P02774-3	P02774;P02774-2;P02774-3				6.99385e+08
P02786	P02786				860363
P02787	P02787				1.34761e+09
P02788;P02788-2	P02788;P02788-2				1.14035e+06
P02790	P02790				5.68988e+08
P02792	P02792				1.18692e+06
P02794	P02794				2.23247e+06
P03950	P03950				2.03202e+06
P03951	P03951;P03951-2				1.89753e+06
P03952	P03952				8.22112e+06
P04003	P04003				1.23303e+06
P04004	P04004				1.56794e+08
P04040	P04040				469525
P04062;P04062-2;P04062-4;P04062-5	P04062;P04062-2;P04062-4;P04062-5				1.78921e+06
P04066	P04066				2.95875e+06
P04070;P04070-2	P04070;P04070-2				1.03159e+06
P04075	P04075;P04075-2				1.3353e+07
P04080	P04080				2.60912e+06
P04085;P04085-2	P04085;P04085-2				1.72899e+06
P04114	P04114				6.90505e+07
P04156	P04156				2.39373e+08
P04179	P04179;P04179-2;P04179-3;P04179-4				5.21397e+06
P04180	P04180				8.80341e+06
P04196	P04196				1.44131e+08
P04216	P04216				1.36455e+08
P04217	P04217;P04217-2				2.06303e+08
P04217-2	P04217-2				2.12203e+06
P04264	P04259;P04264				7.76547e+06
P04271	P04271				588718
P04275	P04275				1.33387e+06
P04278	P04278;P04278-5				2.84796e+06
P04406	P04406;P04406-2				2.82178e+07
P04430	P04430				1.40363e+06
P04439;P04439-2	P04439;P04439-2				2.66257e+06
P04629;P04629-2;P04629-3;P04629-4	P04629;P04629-2;P04629-3;P04629-4				85959.3
P04746	P04746;P0DTE7;P0DTE8;P0DUB6;P19961;P19961-2;P04746-2				1.06394e+06
P04792	P04792				894215
P05023;P05023-2;P05023-4	P05023;P05023-2;P05023-4				353338
P05026;P05026-2	P05026;P05026-2				236809
P05060	P05060				1.43364e+08
