Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_A7_CSF_531-12_column_clog_repeat.mzML
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				2.096e+06
O75078	O75078;O75078-2				4.29252e+06
O75083	O75083;O75083-3				2.25561e+06
O75084;Q14332	O75084;Q14332				448439
O75144;O75144-2	O75144;O75144-2;O75144-3				1.82217e+07
O75173;O75173-2	O75173;O75173-2				7.68595e+06
O75223	O75223;O75223-3				316429
O75326	O75326;O75326-2				3.5542e+07
O75339	O75339				1.13556e+06
O75347	O75347;O75347-2				817566
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				1.21074e+06
O75368	O75368				3.3301e+06
O75487	O75487;O75487-2				1.53981e+06
O75493	O75493				4.66626e+06
O75503	O75503				4.49235e+06
O75509	O75509				9.09972e+06
O75594	O75594				434714
O75629	O75629				1.95671e+06
O75636;O75636-2	O75636;O75636-2				1.22371e+06
O75711	O75711				1.80831e+08
O75752	O75752				6.08047e+06
O75787;O75787-2	O75787;O75787-2				2.49726e+07
O75828	O75828				2.21512e+06
O75874	O75874				673824
O75882;O75882-2;O75882-3	O75882;O75882-2;O75882-3				1.3831e+07
O75973	O75973				907876
O75976	O75976				1.17552e+06
O76061	O76061				7.04924e+06
O76070	O76070				534526
O94760	O94760;O94760-2				3.24176e+06
O94766	O94766;Q9NPZ5				7.36297e+06
O94769	O94769;O94769-2				1.59082e+07
O94772;O94772-2	O94772;O94772-2				6.7837e+07
O94779;O94779-2;O94779-4	O94779;O94779-2;O94779-4				862667
O94856-11	O94856;O94856-10;O94856-11;O94856-12;O94856-13;O94856-3;O94856-4;O94856-5;O94856-6;O94856-7;O94856-8;O94856-9				2.73206e+07
O94856-12;O94856-4;O94856-9	O94856-12;O94856-4;O94856-9				3.08248e+06
O94898	O94898				580008
O94910	O94910;O94910-2				8.54719e+06
O94919	O94919				1.8467e+07
O94923	O94923				204278
O94933	O94933				766104
O94973;O94973-2	O94973;O94973-2				382214
O94985	O94985				2.54751e+06
O94985-2	O94985;O94985-2				2.24537e+08
O94991	O94991;O94991-2				3.18924e+06
O95025	O95025				348839
O95084;O95084-2	O95084;O95084-2				1.20093e+06
O95156	O95156				395957
O95157	O95157				1.41376e+06
O95158	O95158				1.7715e+07
O95185;O95185-2	O95185;O95185-2				1.95917e+06
O95196;O95196-2	O95196;O95196-2				6.18654e+06
O95206;O95206-2	O95206;O95206-2				2.87503e+06
O95292	O95292;Q9P0L0;O95292-2;Q9P0L0-2				3.27703e+06
O95336	O95336				1.73334e+06
O95390	O95390				1.82391e+06
O95428;O95428-5;O95428-6	O95428;O95428-3;O95428-4;O95428-5;O95428-6				6.93205e+06
O95445	O95445;O95445-2				1.6364e+07
O95450;O95450-2	O95450;O95450-2				1.08484e+06
O95467	O95467				1.86707e+06
O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7	O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7				473409
O95497	O95497				637447
O95502	O95502				7.55727e+07
O95633;O95633-2	O95633;O95633-2				2.28654e+06
O95841	O95841				1.67492e+06
O95865	O95865				892827
O95881	O95881				243338
O95897	O95897				1.04049e+06
O95967	O95967				1.11528e+07
O95970	O95970;O95970-2				454954
O95980	O95980				1.55981e+07
O95998	O95998				4.98681e+06
P00338;P00338-3	P00338;P00338-3;P00338-4				1.02047e+07
P00352	P00352				2.35835e+06
P00390;P00390-2;P00390-3;P00390-4;P00390-5	P00390;P00390-2;P00390-3;P00390-4;P00390-5				2.26828e+06
P00441	P00441				2.92366e+08
P00450	P00450				2.9277e+08
P00488	P00488				6.12208e+06
P00492	P00492				1.98055e+06
P00505	P00505;P00505-2				6.27051e+06
P00533;P00533-3;P00533-4	P00533;P00533-3;P00533-4				1.87948e+06
P00558	P00558;P00558-2				5.72297e+06
P00568	P00568				618083
P00734	P00734				4.28938e+07
P00736	P00736				1.03184e+08
P00738	P00738;P00738-2				4.34134e+08
P00739	P00739;P00739-2				1.24426e+08
P00740;P00740-2	P00740;P00740-2				7.85674e+06
P00742	P00742				1.54466e+07
P00746	P00746				1.91569e+07
P00747	P00747				1.14873e+08
P00748	P00748				1.01223e+08
P00751	P00751;P00751-2				1.37095e+08
P00915	P00915				2.66921e+06
P01008	P01008				7.44671e+08
P01009	P01009;P01009-2;P01009-3				5.77732e+09
P01011	P01011				1.34306e+09
P01019	P01019				8.38885e+08
P01023	P01023;P20742;P20742-2				3.83023e+08
P01024	P01024				6.00432e+08
P01031	P01031				2.66591e+07
P01033	P01033				6.68895e+07
P01034	P01034				2.49848e+09
P01036;P01037	P01036;P01037				3.35957e+06
P01040	P01040				2.53899e+06
P01042	P01042;P01042-2;P01042-3				3.42281e+08
P01042-2;P01042-3	P01042-2;P01042-3				6.7259e+07
P01127;P01127-2	P01127;P01127-2				2.2439e+07
P01130;P01130-2;P01130-3;P01130-4;P01130-5;P01130-6	P01130;P01130-2;P01130-3;P01130-4;P01130-5;P01130-6				677018
P01137	P01137				289050
P01178	P01178				2.38414e+06
P01210	P01210				9.96999e+07
P01213	P01213				6.55216e+06
P01236	P01236				747506
P01258;P01258-2;P06881	P01258;P06881;P10092;P01258-2				817501
P01282;P01282-2	P01282;P01282-2				436521
P01303	P01303				8.10496e+06
P01344;P01344-2;P01344-3	P01344;P01344-2;P01344-3				2.17667e+07
P01591	P01591				1.62068e+07
P01593;P01594	P01593;P01594				6.46273e+07
P01597;P04432	P01597;P04432				6.21856e+06
P01599	P01599				441883
