Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleA06.mzML
O43916	O43916				594748
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				3.19337e+07
O60242	O60242				1.19029e+06
O60243	O60243				630854
O60245;O60245-2	O60245;O60245-2				3.64881e+06
O60279	O60279				1.29568e+07
O60291;O60291-2;O60291-3;O60291-4	O60291;O60291-2;O60291-3;O60291-4				486406
O60330	O60330;O60330-2				253239
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				530865
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				5.7392e+06
O60476	O60476				2.71475e+06
O60477	O60477;Q76B58;O60477-3;Q76B58-2				498335
O60512	O60512				1.28976e+06
O60565	O60565				401554
O60568	O60568				1.39967e+06
O60609;O60609-2	O60609;O60609-2				375939
O60613	O60613				958163
O60883	O60883				3.222e+07
O60888-3	O60888;O60888-2;O60888-3				2.33161e+07
O60939	O60939				2.72833e+06
O75063	O75063				2.44129e+06
O75071	O75071				8.68862e+06
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				7.97831e+06
O75078	O75078;O75078-2				4.5518e+06
O75083	O75083;O75083-3				1.40837e+06
O75084;Q14332	O75084;Q14332				761930
O75144;O75144-2	O75144;O75144-2;O75144-3				1.56559e+07
O75173;O75173-2	O75173;O75173-2				7.36286e+06
O75223	O75223;O75223-3				2.64578e+06
O75326	O75326;O75326-2				1.8763e+07
O75339	O75339				458190
O75340;O75340-2	O75340;O75340-2				142781
O75347	O75347;O75347-2				1.29232e+06
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				745366
O75368	O75368				2.3443e+06
O75467;Q6AW86	O75467;Q6AW86				3.69187e+06
O75487	O75487;O75487-2				607466
O75493	O75493				4.43933e+06
O75503	O75503				2.24421e+06
O75509	O75509				2.27794e+07
O75629	O75629				1.63891e+06
O75636;O75636-2	O75636;O75636-2				5.34251e+06
O75752	O75752				3.98557e+06
O75781;O75781-2	O75781;O75781-2				3.07508e+06
O75787;O75787-2	O75787;O75787-2				1.07351e+07
O75828	O75828				3.61804e+06
O75874	O75874				1.53986e+06
O75882-2;O75882-3	O75882;O75882-2;O75882-3				8.23297e+06
O75973	O75973				445508
O75976	O75976				1.21775e+06
O76031	O76031				901031
O76061	O76061				2.6687e+06
O76070	O76070				1.29516e+06
O94760	O94760;O94760-2				1.04403e+07
O94766	O94766				879701
O94769	O94769;O94769-2				7.77558e+06
O94772;O94772-2	O94772;O94772-2				2.44429e+07
O94779;O94779-2	O94779;O94779-2;O94779-4				1.39731e+06
O94856-11	O94856;O94856-10;O94856-11;O94856-12;O94856-13;O94856-3;O94856-4;O94856-5;O94856-6;O94856-7;O94856-8;O94856-9				1.79978e+07
O94856-12;O94856-4;O94856-9	O94856-12;O94856-4;O94856-9				3.44245e+06
O94898	O94898				1.29987e+06
O94910	O94910;O94910-2				7.98696e+06
O94919	O94919				2.53384e+07
O94933	O94933				2.53567e+06
O94973;O94973-2	O94973;O94973-2				186139
O94985	O94985				1.11894e+06
O94985-2	O94985;O94985-2				2.00697e+08
O94991	O94991;O94991-2				3.46187e+06
O95084;O95084-2	O95084;O95084-2				1.26808e+06
O95157	O95157				868555
O95158	O95158				1.47775e+07
O95159	O95159				800727
O95164	O95164				509307
O95185;O95185-2	O95185;O95185-2				1.13409e+06
O95196;O95196-2	O95196;O95196-2				7.11705e+06
O95206;O95206-2	O95206;O95206-2				4.40918e+06
O95297;O95297-2;O95297-3;O95297-4	O95297;O95297-2;O95297-3;O95297-4				1.07951e+06
O95336	O95336				1.01151e+06
O95390	O95390				1.87841e+06
O95428;O95428-5;O95428-6	O95428;O95428-3;O95428-4;O95428-5;O95428-6				6.70339e+06
O95445	O95445;O95445-2				2.68005e+07
O95445-2	O95445-2				242986
O95450;O95450-2	O95450;O95450-2				2.6964e+06
O95467	O95467				1.16742e+06
O95477	O95477				1.54912e+06
O95479;O95479-2	O95479;O95479-2				655667
O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7	O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7				710012
O95497	O95497				1.05848e+06
O95502	O95502				1.1643e+08
O95633;O95633-2	O95633;O95633-2				1.13812e+06
O95747	O95747				73067.1
O95803;O95803-3;Q9H3R1	O95803;Q9H3R1;O95803-2;O95803-3				4.03433e+06
O95841	O95841;Q9UKU9;Q9UKU9-2				1.31466e+06
O95865	O95865				1.20726e+06
O95881	O95881				534153
O95897	O95897				878081
O95967	O95967				9.22486e+06
O95970;O95970-3	O95970;O95970-2;O95970-3				220089
O95980	O95980				1.072e+07
O95998	O95998				320989
P00338;P00338-3	P00338;P00338-3;P00338-4				7.06385e+06
P00352	P00352				1.14881e+06
P00390;P00390-2;P00390-3;P00390-4;P00390-5	P00390;P00390-2;P00390-3;P00390-4;P00390-5				2.52182e+06
P00441	P00441				2.1096e+08
P00450	P00450				1.30896e+08
P00488	P00488				7.64843e+06
P00492	P00492				2.81612e+06
P00505	P00505;P00505-2				7.53981e+06
P00533;P00533-3;P00533-4	P00533;P00533-2;P00533-3;P00533-4				1.3705e+06
P00558	P00558;P00558-2				5.78312e+06
P00568	P00568				523761
P00734	P00734				5.24681e+07
P00736	P00736				1.06763e+08
P00738	P00738;P00738-2				4.35308e+08
P00739	P00739;P00739-2				3.10317e+08
P00740;P00740-2	P00740;P00740-2				5.01056e+06
P00742	P00742				1.41992e+07
P00746	P00746				1.96107e+08
P00747	P00747				1.02241e+08
P00748	P00748				6.28274e+07
P00751	P00751;P00751-2				5.50809e+07
P00915	P00915				3.44582e+06
P00918	P00918				635963
P01008	P01008				2.2701e+08
P01009	P01009;P01009-2;P01009-3				2.98669e+09
P01011	P01011				8.38762e+08
P01019	P01019				4.64615e+08
P01023	P01023				4.91422e+08
P01024	P01024				1.0347e+09
P01031	P01031				2.92903e+07
P01033	P01033				6.31696e+07
P01034	P01034				1.63968e+09
P01036;P01037	P01036;P01037				1.25366e+06
P01042	P01042;P01042-2;P01042-3				4.22101e+08
P01042-2;P01042-3	P01042-2;P01042-3				2.74162e+07
P01127;P01127-2	P01127;P01127-2				2.91561e+07
P01130;P01130-2;P01130-3;P01130-4;P01130-5;P01130-6	P01130;P01130-2;P01130-3;P01130-4;P01130-5;P01130-6				388318
P01160	P01160				286750
P01210	P01210				7.29108e+07
P01213	P01213				5.12522e+06
P01236	P01236				414561
P01258;P01258-2	P01258;P06881;P10092;P01258-2				434086
P01282;P01282-2	P01282;P01282-2				1.66185e+06
P01303	P01303				7.16707e+06
P01344;P01344-2;P01344-3	P01344;P01344-2;P01344-3				5.35514e+07
P01591	P01591				2.2663e+07
P01593;P01594	P01593;P01594				8.74113e+07
P01597;P04432	P01597;P01611;P04432;A0A0C4DH72;A0A0C4DH73				1.88757e+07
P01599	P01599;A0A0C4DH72				6.09417e+06
P01602	P01602				1.5384e+06
P01619	P01619				2.52167e+08
P01700	P01700				2.83386e+07
P01701	P01701				2.46586e+07
P01705	P01705				1.25568e+06
P01706	P01706;P01709;P0DOX8				2.47729e+06
P01714	P01714				8.44545e+06
P01715	P01715				2.21813e+06
P01717;P01718	P01717;P01718				3.7742e+07
P01721	P01721				1.65577e+06
P01742	P01742				4.98493e+06
P01743	P01743				192106
P01768;P0DP03	P01768;P01772;P0DP02;P0DP03				1.2675e+07
P01780	P01780				5.97492e+07
P01814	P01814				2.40619e+06
P01817	P01817				4.90757e+06
P01833	P01833				1.57182e+06
P01834	P01834				3.10731e+08
P01859;P01859-1	P01859;P01859-1				2.35835e+08
P01860;P01860-1	P01860;P01860-1				1.38571e+08
P01861;P01861-1	P01861;P01861-1				1.01702e+08
P01871;P01871-1	P01871;P0DOX6;P01871-1				5.12878e+08
P01876;P01876-1	P01876;P01876-1				2.17256e+08
P01889	P01889;P13747				7.45587e+06
P01903;P01906	P01903;P01906				572562
P01911	P01911				1.35616e+06
P02042	P02042				1.84508e+06
P02144	P02144				754826
P02452	P02452				1.46246e+07
P02461	P02461;P02461-2				4.65096e+06
P02462	P02462				4.3577e+06
P02511	P02511				559709
P02647	P02647				1.89237e+09
P02649	P02649				1.62074e+09
P02652	P02652				3.95878e+08
P02654	P02654				5.87741e+07
P02655	P02655				1.2497e+07
P02656	P02656				3.42547e+07
P02671	P02671;P02671-2				7.36605e+08
P02675	P02675				1.88532e+08
