Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleE03.mzML
O94919	O94919				9.61766e+06
O94933	O94933				501269
O94985	O94985				853751
O94985-2	O94985;O94985-2				1.0329e+08
O94991	O94991;O94991-2				2.28961e+06
O95084;O95084-2	O95084;O95084-2				514508
O95157	O95157				820638
O95158	O95158				5.59445e+06
O95159	O95159				458309
O95185;O95185-2	O95185;O95185-2				1.478e+06
O95196;O95196-2	O95196;O95196-2				2.77097e+06
O95206;O95206-2	O95206;O95206-2				777938
O95297;O95297-2;O95297-3;O95297-4	O95297;O95297-2;O95297-3;O95297-4				473833
O95390	O95390				1.2199e+06
O95428;O95428-5;O95428-6	O95428;O95428-3;O95428-4;O95428-5;O95428-6				1.85058e+06
O95445	O95445;O95445-2				3.03012e+07
O95450;O95450-2	O95450;O95450-2				1.21861e+06
O95467	O95467				781053
O95479;O95479-2	O95479;O95479-2				629016
O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7	O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7				253686
O95497	O95497				2.07195e+06
O95502	O95502				1.0277e+08
O95633;O95633-2	O95633;O95633-2				604732
O95841	O95841;Q9UKU9;Q9UKU9-2				807673
O95865	O95865				591556
O95881	O95881				86539.8
O95897	O95897				256940
O95967	O95967				2.95903e+06
O95970;O95970-3	O95970;O95970-3				261421
O95980	O95980				1.73611e+06
O95998	O95998				143247
P00338;P00338-3	P00338;P00338-3;P00338-4				2.10454e+06
P00352	P00352				170426
P00390;P00390-2;P00390-3;P00390-4;P00390-5	P00390;P00390-2;P00390-3;P00390-4;P00390-5				3.97294e+06
P00441	P00441				1.41498e+08
P00450	P00450				7.79615e+07
P00488	P00488				654332
P00492	P00492				494853
P00505	P00505;P00505-2				1.72462e+06
P00533;P00533-3;P00533-4	P00533;P00533-2;P00533-3;P00533-4				966710
P00558;P00558-2	P00558;P00558-2				2.8875e+06
P00734	P00734				3.27048e+07
P00736	P00736				5.04832e+07
P00738	P00738;P00738-2				5.69221e+07
P00739;P00739-2	P00739;P00739-2				1.67014e+06
P00740;P00740-2	P00740;P00740-2				2.1993e+06
P00742	P00742				4.80075e+06
P00746	P00746				7.3339e+06
P00747	P00747				6.21574e+07
P00748	P00748				1.42031e+07
P00751	P00751;P00751-2				1.06711e+08
P00915	P00915				2.09202e+06
P00918	P00918				620512
P01008	P01008				3.5004e+08
P01009	P01009;P01009-2;P01009-3				1.28734e+09
