Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleB10R2.mzML
O75368	O75368				2.69088e+06
O75487;O75487-2	O75487;O75487-2				947958
O75493	O75493				3.2104e+06
O75503	O75503				3.01409e+06
O75509	O75509				1.29542e+07
O75594	O75594				142098
O75636;O75636-2	O75636;O75636-2				631472
O75711	O75711				9.12563e+06
O75752	O75752				7.25934e+06
O75781;O75781-2	O75781;O75781-2				3.60778e+06
O75787;O75787-2	O75787;O75787-2				5.91281e+06
O75828	O75828				1.26588e+06
O75874	O75874				791046
O75882;O75882-2;O75882-3	O75882;O75882-2;O75882-3				8.67918e+06
O75973	O75973				533240
O75976	O75976				1.09911e+06
O76031	O76031				2.10753e+06
O76061	O76061				2.37904e+06
O76070	O76070				530117
O94760	O94760;O94760-2				5.20698e+06
O94766	O94766				710782
O94769	O94769;O94769-2				7.68109e+06
O94772;O94772-2	O94772;O94772-2				1.06856e+08
O94779;O94779-2	O94779;O94779-2;O94779-4				892323
O94856-11	O94856;O94856-10;O94856-11;O94856-12;O94856-13;O94856-3;O94856-4;O94856-5;O94856-6;O94856-7;O94856-8;O94856-9				2.02949e+07
O94898	O94898				668622
O94910	O94910;O94910-2				7.25976e+06
O94919	O94919				2.43256e+07
O94933	O94933				1.02691e+06
O94973;O94973-2	O94973;O94973-2				88753.7
O94985	O94985				1.34731e+06
O94985-2	O94985;O94985-2				1.59091e+08
O94991	O94991;O94991-2				3.04862e+06
O95084;O95084-2	O95084;O95084-2				956520
O95157	O95157				950086
O95158	O95158				2.79266e+07
O95159	O95159				465306
O95185;O95185-2	O95185;O95185-2				8.83479e+06
O95196;O95196-2	O95196;O95196-2				7.46902e+06
O95206;O95206-2	O95206;O95206-2				2.99218e+06
O95297;O95297-2;O95297-3	O95297;O95297-2;O95297-3;O95297-4				615640
O95336	O95336				891866
O95390	O95390				2.19433e+06
O95428;O95428-5;O95428-6	O95428;O95428-3;O95428-4;O95428-5;O95428-6				4.8188e+06
O95445	O95445;O95445-2				3.19571e+07
O95450;O95450-2	O95450;O95450-2				2.01147e+06
O95467	O95467				1.53925e+06
O95477	O95477				1.68114e+06
O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7	O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7				1.06543e+06
O95497	O95497				1.13813e+06
O95502	O95502				9.97906e+07
O95633;O95633-2	O95633;O95633-2				1.24228e+06
O95747	O95747				154246
O95803;O95803-3;Q9H3R1	O95803;Q9H3R1;O95803-3;Q9H3R1-2				692909
O95841	O95841				1.58835e+06
O95865	O95865				998936
O95881	O95881				376927
O95897	O95897				600163
O95967	O95967				9.96162e+06
O95970;O95970-3	O95970;O95970-3				623596
O95980	O95980				3.59817e+06
P00338;P00338-3	P00338;P00338-3;P00338-4				7.18805e+06
P00352	P00352				529175
P00390;P00390-2;P00390-3	P00390;P00390-2;P00390-3;P00390-4;P00390-5				2.55018e+06
P00441	P00441				1.59055e+08
P00450	P00450				1.25292e+08
P00488	P00488				1.12343e+06
P00492	P00492				1.61091e+06
P00505	P00505;P00505-2				2.93329e+06
P00533;P00533-3;P00533-4	P00533;P00533-2;P00533-3;P00533-4				1.39093e+06
P00558	P00558;P00558-2				2.7087e+06
P00734	P00734				5.50806e+07
P00736	P00736				8.29664e+07
P00738	P00738;P00738-2				2.8539e+08
P00739	P00739;P00739-2				2.0526e+08
P00740;P00740-2	P00740;P00740-2				1.59648e+06
P00742	P00742				6.79561e+06
P00746	P00746				1.92651e+07
P00747	P00747				8.28878e+07
P00748	P00748				4.72994e+07
P00751	P00751;P00751-2				1.19847e+08
P00915	P00915				734102
P01008	P01008				7.22798e+08
P01009	P01009;P01009-2;P01009-3				4.40862e+09
P01011	P01011				1.20014e+09
P01019	P01019				3.34313e+08
P01023	P01023				3.45543e+08
P01024	P01024				5.51204e+08
P01031	P01031				2.13772e+07
P01033	P01033				6.23054e+07
P01034	P01034				4.05049e+09
P01036;P01037	P01036;P01037				704936
P01042	P01042;P01042-2;P01042-3				1.93189e+08
P01042-2;P01042-3	P01042-2;P01042-3				5.92436e+07
P01127;P01127-2	P01127;P01127-2				1.69971e+07
P01130;P01130-2;P01130-3;P01130-4;P01130-5;P01130-6	P01130;P01130-2;P01130-3;P01130-4;P01130-5;P01130-6				262396
P01210	P01210				4.8891e+07
P01213	P01213				3.67802e+06
P01236	P01236				140733
P01258;P01258-2	P01258;P06881;P10092;P01258-2				502843
P01282;P01282-2	P01282;P01282-2				1.33374e+06
P01303	P01303				7.7648e+06
P01344;P01344-2;P01344-3	P01344;P01344-2;P01344-3				2.56589e+07
P01591	P01591				8.61418e+06
P01593;P01594	P01593;P01594				8.93985e+06
