Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_B12_82872039.mzML
P04217-2	P04217-2				1.27287e+06
P04264	P04259;P04264				8.74546e+06
P04271	P04271				1.07848e+06
P04275	P04275				1.50732e+06
P04278	P04278;P04278-2;P04278-3;P04278-4;P04278-5				7.29966e+06
P04350;P07437;P68371	P04350;P07437;P68371				440148
P04406	P04406;P04406-2				1.61643e+07
P04430	P04430				4.49405e+06
P04439-2	P01889;P01893;P04439;P13747;P17693;P17693-2;P17693-5;P17693-6;P04439-2				1.61471e+06
P04746-2	P04746;P04746-2				235504
P04792	P04792				803750
P04899;P04899-4;P08754;P63096	A8MTJ3;P04899;P08754;P09471;P11488;P19087;P38405;P63092;P63096;Q5JWF2;P63092-2;P04899-4;P63092-3;P63092-4;Q5JWF2-2;P09471-2;P38405-2				288477
P04908;P0C0S5;P0C0S8;P16104;P20671;Q16777;Q6FI13;Q71UI9;Q71UI9-2;Q71UI9-5;Q7L7L0;Q8IUE6;Q93077;Q96KK5;Q96QV6;Q99878;Q9BTM1;Q9BTM1-2	P04908;P0C0S5;P0C0S8;P16104;P20671;Q16777;Q6FI13;Q71UI9;Q7L7L0;Q8IUE6;Q93077;Q96KK5;Q96QV6;Q99878;Q9BTM1;Q71UI9-2;Q71UI9-5;Q9BTM1-2				470019
P05023;P05023-2;P05023-4	P05023;P05023-2;P05023-4				343000
P05026;P05026-2	P05026;P05026-2				2.74342e+06
P05060	P05060				5.02265e+08
P05067;P05067-11;P05067-8	P05067;P05067-4;P05067-10;P05067-11;P05067-3;P05067-5;P05067-6;P05067-7;P05067-8;P05067-9				4.76285e+08
P05090	P05090				4.07261e+09
P05107	P05107				33571.4
P05121	P05121				308913
P05154	P05154				1.37318e+07
P05155;P05155-3	P05155;P05155-2;P05155-3				3.83113e+08
P05156	P05156				1.86786e+07
P05160	P05160				1.1402e+06
P05362	P05362				1.99863e+06
P05408;P05408-2	P05408;P05408-2				2.8155e+08
P05413	P05413				4.58675e+06
P05452	P05452				2.81584e+07
P05543	P05543				3.48925e+07
P05546	P05546				7.13265e+07
P05556;P05556-2;P05556-3;P05556-4;P05556-5	P05556;P05556-2;P05556-5;P05556-3;P05556-4				898029
P05937	P05937;P05937-2				3.89225e+06
P06276	P06276				2.34166e+06
P06280	P06280				487543
P06307	P06307				7.98741e+06
P06312	P06312				1.62081e+08
P06331	P01824;P01825;P06331;A0A0C4DH41;P0DP06;P0DP08				4.2962e+07
P06396	P06396;P06396-2;P06396-3;P06396-4				5.51072e+08
P06396-2	P06396-2				2.39793e+06
P06681	P06681;P06681-2;P06681-3				1.83275e+07
P06702	P06702				551565
P06703	P06703				3.09764e+06
P06727	P06727				3.41898e+08
P06733	P06733;P06733-2				5.18482e+06
P06744;P06744-2	P06744;P06744-2				3.12723e+06
P06865	P06865				1.05592e+07
P07093-2;P07093-3	P07093;P07093-2;P07093-3				3.6992e+06
P07108;P07108-2;P07108-3;P07108-4;P07108-5	P07108;P07108-2;P07108-3;P07108-4;P07108-5;P07108-6				1.62885e+07
P07195	P00338;P07195;P07864;Q6ZMR3;P00338-3;P00338-2;P00338-4;P00338-5				1.85394e+07
P07225	P07225				4.69287e+07
P07237	P07237				1.15589e+06
P07307;P07307-2;P07307-3	P07307;P07307-3;P07307-2				919592
P07311	P07311				518798
P07333	P07333;P07333-2				7.38587e+07
P07339	P07339				1.53037e+08
P07357	P07357				2.03024e+07
P07358	P07358				1.28029e+07
P07359	P07359				404154
P07360	P07360				9.31628e+06
P07477	P07477;Q9BYE2;Q9BYE2-2;Q9BYE2-3;Q9BYE2-6				3.44255e+06
P07492	P07492;P07492-2;P07492-3				574063
P07585	P07585;P07585-4				2.08497e+07
P07602;P07602-2;P07602-3	P07602;P07602-2;P07602-3				2.09317e+07
P07686	P07686				3.57381e+06
P07711	P07711;P07711-3				1.20221e+07
P07737	P07737				2.42079e+06
P07858	P07858				3.20961e+07
P07900;P07900-2	P07900;P07900-2				924050
P07942	P07942				2.21742e+06
P07951;P07951-2;P07951-3	P06753;P07951;P09493;P09493-10;P67936;P07951-2;P09493-5;P06753-2;P06753-3;P09493-2;P09493-3;P09493-4;P09493-6;P09493-7;P09493-8;P09493-9;P06753-4;P06753-5;P06753-6;P07951-3;P67936-2				417801
P07996	P07996;P07996-2				2.67128e+06
P07998	P07998				2.14263e+07
P08123	P08123				2.54281e+07
P08133;P08133-2	P08133;P08133-2				157023
P08174;P08174-2;P08174-3;P08174-4;P08174-5;P08174-6;P08174-7	P08174;P08174-2;P08174-3;P08174-4;P08174-5;P08174-6;P08174-7				1.26527e+07
P08185	P08185				8.22662e+07
P08195;P08195-2;P08195-3;P08195-4;P08195-5	P08195;P08195-4;P08195-2;P08195-3;P08195-5				4.8929e+06
P08236;P08236-2;P08236-3	P08236;P08236-2;P08236-3				308207
P08238;Q58FF7	P08238;Q58FF7				117930
P08253	P08253;P08253-2;P08253-3				1.71914e+07
P08294	P08294				1.4234e+08
P08476	P08476				111808
P08493-2	P08493;P08493-2				2.97255e+07
P08571	P08571				8.07246e+07
P08572	P08572				3.29171e+06
P08581;P08581-2	P08581;P08581-2				1.68425e+06
P08582	P08582;P08582-2				1.09467e+06
P08603	P08603				9.018e+07
P08637	P08637				5.253e+06
P08670	P08670				1.32441e+06
P08697	P08697;P08697-2				1.09577e+08
P08758	P08758				1.92032e+06
P08833	P08833				530631
P08949;P08949-2	P08949;P08949-2				31854.5
P09104	P09104;P09104-2				5.55318e+06
P09172	P09172				194891
P09211	P09211				3.6612e+06
P09382	P09382				1.50119e+07
P09417;P09417-2	P09417;P09417-2				1.46816e+07
P09455;P09455-2;P09455-3	P09455;P09455-2;P09455-3				200738
P09486	P09486				8.05937e+07
P09529	P09529				596510
P09603	P09603				3.40123e+07
P09619	P09619;P09619-2				3.0095e+06
P09622	P09622;P09622-2				1.11767e+07
P09668	P09668				7.78009e+06
P09871	P09871				6.48644e+07
P09936	P09936				2.64939e+06
P09958	P09958				670633
P09960;P09960-4	P09960;P09960-2;P09960-3;P09960-4				929442
P09972	P04075;P09972;P04075-2				1.21086e+07
P0C0L4;P0C0L4-2	P0C0L4;P0C0L4-2				7.49542e+07
P0C0L5	P0C0L4;P0C0L5;P0C0L4-2				5.36297e+08
P0C6S8	P0C6S8				773852
P0CG47;P0CG48	P0CG47;P0CG48;P62979;P62987				3.72349e+07
P0DJD7;P0DJD8;P0DJD9	P0DJD7;P0DJD8;P0DJD9				235121
P0DMQ5	P0DMQ5				1.13963e+07
P0DMV8;P0DMV8-2;P0DMV9	P0DMV8;P0DMV9;P0DMV8-2				4.32347e+06
P0DOX2	P01876;P01877;P01876-1;P01877-1;P0DOX2				2.05187e+08
P0DOX3	P0DOX3				3.95201e+06
P0DOX5	P0DOX5				3.25363e+09
P0DOX7	P01834;P0DOX7				1.81573e+08
P0DOY3	P0DOY2;P0DOY3				2.97879e+08
P0DP23;P0DP24;P0DP25	P0DP23;P0DP24;P0DP25;P27482				706370
P0DP58	P0DP58				9.87941e+07
P0DTE1	P0DTE1				1.12815e+06
P10124	P10124				4.2035e+06
P10153	P10153				8.21403e+06
P10253	P10253				3.10141e+06
P10451-3	P10451-3				5.59722e+06
P10451-5	P10451;P10451-4;P10451-5				3.14597e+08
P10451;P10451-4	P10451;P10451-4				574537
P10586;P10586-2	P10586;P23468;P10586-2;P23468-3;P23468-4;P23468-5;P23468-6;P23468-7				1.7925e+07
P10599	P10599;P10599-2				1.15381e+07
P10619;P10619-2	P10619;P10619-2				453989
P10636;P10636-2;P10636-3;P10636-4;P10636-5;P10636-6;P10636-7;P10636-8;P10636-9	P10636;P10636-8;P10636-6;P10636-2;P10636-3;P10636-4;P10636-5;P10636-7;P10636-9				607474
P10643	P10643				3.64036e+07
P10644;P10644-2	P10644;P10644-2				284605
P10645	P10645				1.84879e+08
P10646	P10646				427886
P10721;P10721-2	P10721;P10721-2				3.83796e+06
P10745	P10745				558067
P10768	P10768				6.77955e+06
P10909-6	P10909;P10909-4;P10909-6;P10909-2;P10909-3;P10909-5				2.53552e+09
P11021	P11021				6.91887e+06
P11047	P11047				6.16108e+07
P11117	P11117				989540
P11142	P11142				6.99537e+06
P11215;P11215-2	P11215;P11215-2				319767
P11226	P11226				1.77578e+06
P11279	P11279;P11279-2				6.50978e+06
P11362-16	P11362;P11362-10;P11362-11;P11362-16;P11362-2;P11362-20;P11362-3;P11362-4;P11362-8;P11362-9				1.37233e+06
P11362-21;P11362-7	P11362;P11362-10;P11362-11;P11362-12;P11362-13;P11362-14;P11362-16;P11362-18;P11362-19;P11362-2;P11362-20;P11362-21;P11362-3;P11362-4;P11362-5;P11362-6;P11362-7;P11362-8;P11362-9				1.45445e+07
P11464-4	P11464-4				5.47762e+06
P11597;P11597-2	P11597;P11597-2				201458
P11717	P11717				904816
P12107;P12107-2;P12107-3;P12107-4	P12107;P12107-2;P12107-3;P12107-4				322338
P12109	P12109				2.23766e+07
