Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_mag_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_G3_79069638.mzML
P01705	P01704;P01705				9.45521e+06
P01709	P01706;P01709;P0DOX8				3.37993e+07
P01714	P01714				5.87646e+06
P01717	P01717				2.19391e+08
P01721	P01721				1.07507e+07
P01743	P01743				725743
P01768;P0DP03	P01768;P01772;P0DP02;P0DP03				5.71846e+07
P01780	P01780				1.70597e+08
P01814	P01814				2.06396e+07
P01817	P01817				2.54361e+07
P01833	P01833				5.58912e+06
P01834	P01834				1.67252e+08
P01859;P01859-1	P01859;P01859-1				4.6577e+09
P01860;P01860-1	P01860;P01860-1				3.79568e+08
P01861;P01861-1	P01861;P01861-1				1.1589e+09
P01871;P01871-1	P01871;P0DOX6;P01871-1				8.34979e+07
P01876;P01876-1	P01876;P01876-1				8.97974e+08
P01880;P01880-1	P01880;P01880-1				5.3521e+06
P01889	P01889;P13747				1.42629e+07
P01903	P01903;P01906				1.53009e+06
P01911;P04440	P01911;P04440				3.31467e+06
P02144	P02144				1.02976e+07
P02452	P02452				7.54317e+07
P02461	P02461;P02461-2				1.49899e+07
P02511	P02511				1.7127e+06
P02647	P02647				1.39213e+10
P02649	P02649				7.15202e+09
P02652	P02652				1.48576e+09
P02654	P02654				8.83236e+07
P02655	P02655				2.89659e+07
P02656	P02656				2.14822e+08
P02671	P02671;P02671-2				3.48507e+08
P02675	P02675				2.97448e+08
P02679;P02679-2	P02679;P02679-2				1.43159e+08
P02686;P02686-3;P02686-4;P02686-5;P02686-6	P02686;P02686-3;P02686-4;P02686-5;P02686-6				1.40185e+06
P02741	P02741				4.21807e+06
P02743	P02743				1.1685e+07
P02745	P02745				2.76073e+08
P02746	P02746				4.8631e+08
P02747	P02747				4.80599e+08
P02748	P02748				1.36068e+08
P02749	P02749				2.64406e+08
P02750	P02750				2.80196e+08
P02751;P02751-1	P02751;P02751-1;P02751-10;P02751-11;P02751-12;P02751-13;P02751-14;P02751-16;P02751-17;P02751-2;P02751-3;P02751-4;P02751-5;P02751-6;P02751-7;P02751-8;P02751-9				6.04186e+08
P02753	P02753				2.38085e+08
P02760	P02760				1.50416e+08
P02763	P02763				5.48027e+09
P02765	P02765				2.21917e+09
P02766	P02766				7.68291e+09
P02768	P02768				3.80615e+10
P02774;P02774-3	P02774;P02774-2;P02774-3				1.31489e+09
P02786	P02786				2.97762e+06
P02787	P02787				9.09946e+09
P02788;P02788-2	P02788;P02788-2				1.97882e+07
P02790	P02790				5.25053e+09
P02792	P02792				4.77115e+06
P02794	P02794				9.12144e+06
P02810	P02810				605476
P03950	P03950				2.03255e+07
P03951;P03951-2	P03951;P03951-2				1.28346e+07
P03952	P03952				3.97991e+07
P04003	P04003				6.37211e+06
