Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_mag_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_D2_79110561.mzML
O75882-2;O75882-3	O75882;O75882-2;O75882-3				2.08669e+07
O75973	O75973				1.46147e+06
O75976	O75976				2.00328e+06
O76061	O76061				8.35337e+06
O76070	O76070				7.97142e+06
O94760	O94760;O94760-2				8.84295e+06
O94766	O94766;Q9NPZ5				3.21297e+06
O94769	O94769;O94769-2				2.23786e+07
O94772;O94772-2	O94772;O94772-2				1.66249e+08
O94779;O94779-2	O94779;O94779-2				2.19718e+06
O94856-11	O94856;O94856-10;O94856-11;O94856-12;O94856-13;O94856-3;O94856-4;O94856-5;O94856-6;O94856-7;O94856-8;O94856-9				7.191e+07
O94856-12;O94856-4;O94856-9	O94856-12;O94856-4;O94856-9				4.91576e+06
O94898	O94898				1.96423e+06
O94910;O94910-2	O94910;O94910-2				1.56941e+07
O94919	O94919				4.18934e+07
O94933	O94933				7.45266e+06
O94973;O94973-2	O94973;O94973-2				992696
O94985	O94985				4.17389e+06
O94985-2	O94985;O94985-2				6.1102e+08
O94991	O94991;O94991-2				7.97661e+06
O95084	O95084;O95084-2				2.99609e+06
O95156	O95156				1.58588e+06
O95157	O95157				2.45659e+06
O95158	O95158				4.73903e+07
O95159	O95159				1.94865e+06
O95164	O95164				681406
O95185;O95185-2	O95185;O95185-2				6.3245e+06
O95196;O95196-2	O95196;O95196-2				9.16605e+06
O95206;O95206-2	O95206;O95206-2				8.27975e+06
O95297;O95297-2;O95297-3	O95297;O95297-2;O95297-3;O95297-4				1.82127e+06
O95336	O95336				4.1366e+06
O95390	O95390				5.95988e+06
O95428;O95428-5;O95428-6	O95428;O95428-3;O95428-4;O95428-5;O95428-6				8.90277e+06
O95445	O95445;O95445-2				1.90738e+07
O95450;O95450-2	O95450;O95450-2				4.44611e+06
O95461;O95461-2	O95461;O95461-2				1.70709e+06
O95467	O95467				3.33026e+06
O95477	O95477				7.41738e+06
O95479;O95479-2	O95479;O95479-2				441136
O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7	O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7				1.27783e+06
O95497	O95497				4.00914e+06
O95502	O95502				1.56217e+08
O95633;O95633-2	O95633;O95633-2				6.66497e+06
O95841	O95841				2.60624e+06
O95865	O95865				3.08289e+06
O95881	O95881				557939
O95897	O95897				1.28994e+06
O95967	O95967				2.84548e+07
O95970	O95970;O95970-2				1.02176e+06
O95980	O95980				5.69266e+06
O95998	O95998;O95998-4				2.07563e+07
P00325;P00325-2;P00326;P07327	P00325;P00326;P07327;P00325-2				401604
P00338;P00338-3	P00338;P00338-3;P00338-4				1.83512e+07
P00352	P00352				1.66853e+06
P00390;P00390-2;P00390-3;P00390-4;P00390-5	P00390;P00390-2;P00390-3;P00390-4;P00390-5				4.86086e+06
P00441	P00441				5.70146e+08
P00450	P00450				3.21933e+08
P00488	P00488				1.70054e+06
P00492	P00492				4.63924e+06
P00505	P00505;P00505-2				1.40633e+07
P00533;P00533-3;P00533-4	P00533;P00533-2;P00533-3;P00533-4				3.02265e+06
P00558	P00558;P00558-2				1.63346e+07
P00568	P00568				2.30613e+06
P00734	P00734				6.86293e+07
P00736	P00736				1.89686e+08
P00738;P00738-2	P00738;P00738-2				7.25044e+07
P00739	P00739;P00739-2				1.70796e+08
P00740;P00740-2	P00740;P00740-2				7.52656e+06
P00742	P00742				5.08932e+07
P00746	P00746				4.9309e+07
P00747	P00747				1.37894e+08
P00748	P00748				4.15408e+07
P00751	P00751;P00751-2				9.81371e+07
P00813	P00813				627911
P01008	P01008				1.18099e+09
P01009	P01009;P01009-2;P01009-3				3.28262e+09
P01011	P01011				2.92849e+09
P01019	P01019				1.24954e+09
P01023	P01023				8.98459e+08
P01024	P01024				1.00708e+09
P01031	P01031				2.54088e+07
P01033	P01033				1.8974e+08
P01034	P01034				2.56242e+10
P01040	P01040				3.7578e+06
P01042	P01042;P01042-2;P01042-3				4.62632e+08
P01042-2;P01042-3	P01042-2;P01042-3				2.95363e+08
P01127;P01127-2	P01127;P01127-2				5.96974e+07
P01130;P01130-2;P01130-3;P01130-4;P01130-5;P01130-6	P01130;P01130-2;P01130-3;P01130-4;P01130-5;P01130-6				1.23803e+06
P01178	P01178				3.90564e+06
P01210	P01210				1.40312e+08
P01213	P01213				5.70504e+06
P01236	P01236				914513
P01258;P01258-2;P06881	P01258;P06881;P10092;P01258-2				959990
P01282;P01282-2	P01282;P01282-2				2.44488e+06
P01303	P01303				1.24104e+07
P01344;P01344-2;P01344-3	P01344;P01344-2;P01344-3				7.23826e+07
P01591	P01591				1.79464e+07
P01593;P01594	P01593;P01594				3.69085e+07
P01597;P04432	P01597;P01611;P04432;A0A0C4DH72;A0A0C4DH73				1.20581e+07
P01599	P01599;A0A0C4DH72				4.86026e+06
P01601	P01601				663492
P01602	P01602				1.51484e+06
P01619	P01619				1.13026e+09
P01700	P01700				5.21479e+07
P01701	P01701				2.64574e+07
P01705	P01704;P01705				1.04688e+07
P01709	P01706;P01709;P0DOX8				1.04797e+07
P01714	P01714				1.21321e+07
P01715	P01715;A0A075B6K4				1.23037e+07
P01717	P01717				8.23754e+07
P01721	P01721				5.48291e+06
P01742	P01742				7.00962e+06
P01743	P23083;P01743;A0A0C4DH29;A0A0C4DH31;A0A0C4DH33;A0A0J9YVY3;P0DP01				2.52469e+07
P01772	P01768;P01772;P0DP02;P0DP03				4.16879e+07
P01780	P01780				7.43869e+07
P01814	P01814				1.60027e+07
P01817	P01817				7.29458e+06
P01833	P01833				1.62431e+06
P01834	P01834				5.75984e+07
P01859;P01859-1	P01857;P01859;P0DOX5;P01857-1;P01859-1				1.55275e+09
P01860;P01860-1	P01860;P01860-1				6.74264e+07
P01861;P01861-1	P01861;P01861-1				5.06969e+08
P01871;P01871-1	P01871;P0DOX6;P01871-1				3.94707e+07
P01876;P01876-1	P01876;P01876-1				8.48248e+08
P01889	P01889;P04439;P04439-2				1.25576e+07
P01893	P01893				2.06591e+06
P01903	P01903;P01906				456205
P01911;P04440	P01911;P04440				2.54974e+06
P02144	P02144				2.56345e+06
P02452	P02452				6.48805e+07
P02461	P02461;P02461-2				1.77704e+07
P02462	P02462				343191
P02511	P02511				2.06549e+06
P02533	P02533				7.69323e+06
P02538	O95678;P02538;P48668				2.22489e+07
P02647	P02647				4.21706e+09
P02649	P02649				1.26876e+10
P02652	P02652				1.39355e+09
P02654	P02654				4.99721e+07
P02655	P02655				1.24296e+07
P02656	P02656				6.03733e+07
P02671	P02671;P02671-2				1.875e+08
P02675	P02675				1.25263e+08
P02679;P02679-2	P02679;P02679-2				8.87202e+07
P02686;P02686-3;P02686-4;P02686-5;P02686-6	P02686;P02686-3;P02686-4;P02686-5;P02686-6				1.53802e+06
P02741	P02741				461076
P02743	P02743				2.0589e+07
P02745	P02745				5.20747e+07
P02746	P02746				3.80342e+08
P02747	P02747				1.34259e+08
P02748	P02748				4.82362e+07
P02749	P02749				8.42234e+07
P02750	P02750				1.99177e+08
P02751;P02751-1	P02751;P02751-1;P02751-10;P02751-11;P02751-12;P02751-13;P02751-14;P02751-16;P02751-17;P02751-2;P02751-3;P02751-4;P02751-5;P02751-6;P02751-7;P02751-8;P02751-9				6.30653e+08
P02753	P02753				1.60915e+08
P02760	P02760				1.15339e+08
P02763	P02763				2.49223e+09
P02765	P02765				5.89217e+08
P02766	P02766				7.79114e+09
P02768	P02768				2.48648e+10
P02774;P02774-3	P02774;P02774-2;P02774-3				8.45426e+08
P02786	P02786				2.05733e+06
P02787	P02787				7.33069e+09
P02788;P02788-2	P02788;P02788-2				4.35915e+06
P02790	P02790				1.28644e+09
P02792	P02792				8.43227e+06
P02794	P02794				9.25101e+06
P02810	P02810				893286
P03950	P03950				6.9251e+06
P03951;P03951-2	P03951;P03951-2				1.29251e+07
P03952	P03952				1.53569e+07
P04003	P04003				2.52733e+06
P04004	P04004				6.29899e+08
P04040	P04040				1.53333e+06
P04062;P04062-2;P04062-4;P04062-5	P04062;P04062-2;P04062-4;P04062-5				3.36023e+06
P04066	P04066				1.02455e+07
P04070;P04070-2	P04070;P04070-2				1.03411e+07
P04075	P04075;P09972;P04075-2				1.08882e+08
P04080	P04080				8.65569e+06
P04085;P04085-2	P04085;P04085-2				2.29619e+07
P04114	P04114				9.42183e+06
P04156	P04156				5.81385e+08
P04179	P04179;P04179-2;P04179-3;P04179-4				2.40378e+07
P04180	P04180				5.45409e+07
P04196	P04196				1.93146e+08
P04211	P04211;A0A075B6I9				8.237e+07
P04216	P04216				4.6244e+08
P04217	P04217;P04217-2				2.94084e+08
P04217-2	P04217-2				244853
P04259	P04259;P48668				1.04147e+07
P04264	P04259;P04264				3.83211e+07
P04271	P04271				4.93875e+06
P04275	P04275				3.3218e+06
P04278;P04278-5	P04278;P04278-2;P04278-3;P04278-4;P04278-5				7.46134e+06
P04350;P07437;P68371	P04350;P07437;P68371				903204
P04406	P04406;P04406-2				5.04883e+07
P04439;P04439-2	P04439;P04439-2				9.69139e+06
P04632	P04632				618242
P04746-2	P04746;P04746-2				253240
P04792	P04792				1.76439e+06
P04908;P0C0S5;P0C0S8;P16104;P20671;Q16777;Q6FI13;Q71UI9;Q71UI9-2;Q71UI9-5;Q7L7L0;Q8IUE6;Q93077;Q96KK5;Q96QV6;Q99878;Q9BTM1;Q9BTM1-2	P04908;P0C0S5;P0C0S8;P16104;P20671;Q16777;Q6FI13;Q71UI9;Q7L7L0;Q8IUE6;Q93077;Q96KK5;Q96QV6;Q99878;Q9BTM1;Q71UI9-2;Q71UI9-5;Q9BTM1-2				1.29796e+06
P05023;P05023-2;P05023-4	P05023;P05023-2;P05023-4				1.94929e+06
P05026;P05026-2	P05026;P05026-2				1.80374e+06
P05060	P05060				1.02737e+09
P05067;P05067-11;P05067-8	P05067;P05067-4;P05067-10;P05067-11;P05067-3;P05067-5;P05067-6;P05067-7;P05067-8;P05067-9				9.09346e+08
P05090	P05090				5.29122e+09
P05107	P05107				789352
P05109	P05109				207404
P05121	P05121				869225
P05154	P05154				1.6287e+07
P05155;P05155-3	P05155;P05155-2;P05155-3				1.46664e+09
P05156	P05156				1.14128e+07
P05160	P05160				5.61472e+06
P05362	P05362				1.72313e+06
P05408;P05408-2	P05408;P05408-2				7.56254e+08
P05413	P05413				7.55772e+06
P05452	P05452				2.96835e+08
P05543	P05543				3.23523e+07
P05546	P05546				1.33249e+08
P05556;P05556-2;P05556-3;P05556-4;P05556-5	P05556;P05556-2;P05556-5;P05556-3;P05556-4				1.99372e+06
P05937	P05937;P05937-2				1.321e+07
P05997	P05997				2.86167e+06
P06276	P06276				7.14236e+06
P06280	P06280				601635
P06307	P06307				3.52782e+07
P06310	P06310				2.63944e+08
P06312	P06312				5.71302e+08
P06331	P01824;P01825;P06331;A0A0C4DH41;P0DP06;P0DP08				2.25828e+07
P06396	P06396;P06396-2;P06396-3;P06396-4				2.5343e+09
P06396-2	P06396-2				7.4005e+06
P06454;P06454-2	P06454;P06454-2				155817
P06681	P06681;P06681-2;P06681-3				4.63911e+07
P06702	P06702				923447
P06703	P06703				4.3805e+06
P06727	P06727				4.53446e+08
P06733	P06733;P06733-2				2.33014e+07
P06744;P06744-2	P06744;P06744-2				1.00893e+07
P06865	P06865				1.94269e+07
P07093-2;P07093-3	P07093;P07093-2;P07093-3				1.15171e+07
P07108;P07108-2;P07108-3;P07108-4;P07108-5	P07108;P07108-2;P07108-3;P07108-4;P07108-5;P07108-6				3.54778e+07
P07195	P00338;P07195;P07864;Q6ZMR3;P00338-3;P00338-2;P00338-4;P00338-5				8.12546e+07
P07196	P07196				2.07885e+06
P07197	P07197;P07197-2				1.57042e+06
P07225	P07225				1.52726e+08
P07237	P07237				8.85326e+06
P07307;P07307-2;P07307-3	P07307;P07307-3;P07307-2				265872
P07311	P07311				1.83872e+06
P07333	P07333;P07333-2				8.3601e+07
P07339	P07339				1.77309e+08
P07357	P07357				3.06075e+07
P07358	P07358				2.15264e+07
P07360	P07360				1.54221e+07
P07477;Q9BYE2;Q9BYE2-2;Q9BYE2-3;Q9BYE2-6	P07477;Q9BYE2;Q9BYE2-2;Q9BYE2-3;Q9BYE2-6				1.30256e+07
P07492	P07492;P07492-2;P07492-3				1.66877e+06
P07492-2	P07492-2				82687.6
P07585	P07585;P07585-4				7.39176e+07
P07602;P07602-2;P07602-3	P07602;P07602-2;P07602-3				4.52613e+07
P07686	P07686				3.48333e+07
P07711	P07711;P07711-3				3.47021e+07
P07737	P07737				4.10416e+06
P07858	P07858				5.93417e+07
P07900;P07900-2	P07900;P08238;P07900-2				3.10806e+06
P07942	P07942				6.4705e+06
P07996	P07996;P07996-2				3.62162e+06
P07998	P07998				5.66058e+07
P08123	P08123				5.12457e+07
P08133;P08133-2	P08133;P08133-2				703047
P08174;P08174-2;P08174-3;P08174-4;P08174-5;P08174-6;P08174-7	P08174;P08174-2;P08174-3;P08174-4;P08174-5;P08174-6;P08174-7				5.89813e+07
P08185	P08185				2.23878e+08
P08195;P08195-2;P08195-3;P08195-4;P08195-5	P08195;P08195-4;P08195-2;P08195-3;P08195-5				1.49701e+07
P08238	P08238;Q58FF7				340582
P08253	P08253;P08253-2;P08253-3				5.81473e+07
P08254	P08254;P09238				1.09955e+06
P08294	P08294				3.50778e+08
P08493-2	P08493;P08493-2				9.99729e+07
P08571	P08571				5.40032e+08
P08572	P08572				6.78077e+06
P08581;P08581-2	P08581;P08581-2				3.09503e+06
P08582	P08582;P08582-2				4.77437e+06
P08603	P08603				3.62747e+08
P08637	P08637				3.20192e+07
P08670	P08670;P17661				7.48561e+06
P08697	P08697;P08697-2				3.63626e+08
P08758	P08758				3.60003e+06
P08779	P08779				3.2363e+07
P09104	P09104;P09104-2				1.60467e+07
P09172	P09172				510293
P09211	P09211				1.46267e+07
P09382	P09382				1.99967e+07
P09417;P09417-2	P09417;P09417-2				1.70462e+07
P09455;P09455-2;P09455-3	P09455;P09455-2;P09455-3				752583
P09486	P09486				1.9084e+08
P09529	P09529				1.05111e+06
P09603	P09603				1.24053e+08
P09619	P09619;P09619-2				7.32635e+06
P09622	P09622;P09622-2				9.14845e+06
P09668	P09668				3.9479e+07
P09871	P09871				2.36098e+08
P09936	P09936				1.04112e+07
P09958	P09958				2.85449e+06
P09960;P09960-4	P09960;P09960-2;P09960-3;P09960-4				2.64125e+06
P09972	P09972				2.62665e+07
P0C0L4;P0C0L4-2	P0C0L4;P0C0L4-2				1.95365e+08
P0C0L5	P0C0L4;P0C0L5;P0C0L4-2				1.3379e+09
P0C6S8	P0C6S8				3.44353e+06
P0CG47;P0CG48	P0CG47;P0CG48;P62979;P62987				2.3399e+08
P0DJD7;P0DJD8;P0DJD9	P0DJD7;P0DJD8;P0DJD9				2.63042e+06
P0DJI8;P0DJI9	P0DJI8;P0DJI9				1.17985e+06
P0DMQ5	P0DMQ5				2.49275e+07
P0DMV8;P0DMV8-2;P0DMV9	P0DMV8;P0DMV9;P0DMV8-2				4.10584e+06
P0DOX2	P01876;P01877;P01876-1;P01877-1;P0DOX2				4.93377e+08
P0DOX3	P0DOX3				5.20481e+07
P0DOX5	P01857;P01860;P01861;P0DOX5;P01857-1;P01860-1;P01861-1				7.127e+09
P0DOX7	P01834;P0DOX7				8.22671e+08
P0DOX8	B9A064;P0DOX8				3.8742e+08
P0DOY3	P0DOY2;P0DOY3				9.44597e+08
P0DP23;P0DP24;P0DP25	P0DP23;P0DP24;P0DP25;P27482				4.65858e+06
P0DP58	P0DP58				1.97158e+08
P0DTE1	P0DTE1				9.07229e+06
P0DTE7;P0DTE8;P0DUB6	P0DTE7;P0DTE8;P0DUB6				331686
P10124	P10124				1.35703e+07
P10153	P10153				2.19002e+07
P10253	P10253				4.55558e+06
P10321;P10321-2	P10321;P10321-2				3.41797e+06
P10451-3	P10451-3				7.2289e+07
P10451-5	P10451;P10451-4;P10451-5				6.46889e+08
P10451;P10451-4	P10451;P10451-4				2.70756e+06
P10586;P10586-2	P10586;P23468;P10586-2;P23468-3;P23468-4;P23468-5;P23468-6;P23468-7				3.08724e+07
P10599	P10599;P10599-2				3.42909e+07
P10619;P10619-2	P10619;P10619-2				1.53802e+06
