Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_mag_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_C8_82882588_repeat.mzML
P01768;P0DP02;P0DP03	P01768;P01772;P0DP02;P0DP03				8.88466e+07
P01780	P01780				7.38287e+07
P01814	P01814				5.65589e+06
P01817	P01817				1.13728e+07
P01833	P01833				4.0742e+06
P01834	P01834				4.28689e+07
P01859;P01859-1	P01859;P01859-1				1.05215e+09
P01860;P01860-1	P01860;P01860-1				4.1868e+07
P01861;P01861-1	P01861;P01861-1				2.27032e+08
P01871;P01871-1	P01871;P0DOX6;P01871-1				5.71938e+07
P01876;P01876-1	P01876;P01876-1				1.00189e+09
P01903;P01906	P01903;P01906				319165
P01911	P01911				4.10236e+06
P02144	P02144				2.38899e+06
P02452	P02452				4.94657e+07
P02461	P02461;P02461-2				1.53461e+07
P02511	P02511				2.1395e+06
P02533	P02533;P08727;P08779;P19012;Q04695;P19012-2				1.562e+06
P02538	P02538				1.84685e+06
P02647	P02647				6.00102e+09
P02649	P02649				9.01127e+09
P02652	P02652				1.06079e+09
P02654	P02654				7.74669e+07
P02655	P02655				7.71479e+06
P02656	P02656				2.72923e+07
P02671	P02671;P02671-2				9.52352e+07
P02675	P02675				1.8652e+08
P02679;P02679-2	P02679;P02679-2				1.67886e+08
P02686;P02686-3;P02686-4;P02686-5;P02686-6	P02686;P02686-3;P02686-4;P02686-5;P02686-6				1.29233e+06
P02741	P02741				2.0182e+06
P02743	P02743				1.43039e+07
P02745	P02745				1.89638e+08
P02746	P02746				5.0202e+08
P02747	P02747				5.22963e+08
P02748	P02748				5.67028e+07
P02749	P02749				6.58075e+07
P02750	P02750				2.6316e+08
P02751;P02751-1	P02751;P02751-1;P02751-10;P02751-11;P02751-12;P02751-13;P02751-14;P02751-16;P02751-17;P02751-2;P02751-3;P02751-4;P02751-5;P02751-6;P02751-7;P02751-8;P02751-9				8.66428e+08
P02753	P02753				2.02239e+08
P02760	P02760				8.94429e+07
P02763	P02763				3.16875e+09
P02765	P02765				6.49464e+08
P02766	P02766				8.39592e+09
P02768	P02768				2.78427e+10
P02774;P02774-3	P02774;P02774-2;P02774-3				1.21244e+09
P02786	P02786				4.15235e+06
P02787	P02787				1.04203e+10
P02788;P02788-2	P02788;P02788-2				3.71909e+07
P02790	P02790				3.7342e+09
P02792	P02792				1.44999e+07
P02794	P02794				1.58897e+07
P02810	P02810				1.28328e+06
P03950	P03950				5.73555e+06
P03951;P03951-2	P03951;P03951-2				6.94903e+06
P03952	P03952				2.81034e+07
P04003	P04003				2.37945e+06
P04004	P04004				7.307e+08
P04040	P04040				1.88595e+06
P04062;P04062-2;P04062-4;P04062-5	P04062;P04062-2;P04062-4;P04062-5				1.05375e+07
P04066	P04066				1.08645e+07
P04070;P04070-2	P04070;P04070-2				7.22397e+06
P04075	P04075;P04075-2				1.88595e+08
P04080	P04080				9.3259e+06
P04083	P04083				6040.34
P04085;P04085-2	P04085;P04085-2				2.34832e+07
P04114	P04114				1.43192e+08
P04156	P04156				1.65576e+09
P04179	P04179;P04179-2;P04179-3;P04179-4				2.70805e+07
P04180	P04180				7.3487e+07
P04196	P04196				1.12706e+08
P04216	P04216				1.05606e+09
P04217	P04217;P04217-2				5.68941e+08
P04217-2	P04217-2				1.74872e+06
P04264	P04259;P04264				5.62603e+07
P04271	P04271				6.69334e+06
P04275	P04275				2.15856e+07
P04278	P04278;P04278-5				9.39685e+06
P04350;P07437;P68371	P04350;P07437;P68371				752416
P04406	P04406;P04406-2				7.95936e+07
P04430	P04430				1.03392e+06
P04439-2	P04439-2				2.06722e+06
P04632	P04632				1.12667e+06
P04746-2	P04746;P04746-2				538224
P04792	P04792				3.50038e+06
P04899;P04899-4;P08754;P09471;P09471-2;P63096	P04899;P08754;P09471;P63096;P04899-2;P04899-3;P04899-4;P04899-5;P04899-6;P09471-2;P63096-2				2.01988e+06
P04908;P0C0S5;P0C0S8;P16104;P20671;Q16777;Q6FI13;Q71UI9;Q71UI9-2;Q7L7L0;Q93077;Q96KK5;Q96QV6;Q99878;Q9BTM1;Q9BTM1-2	P04908;P0C0S5;P0C0S8;P16104;P20671;Q16777;Q6FI13;Q71UI9;Q7L7L0;Q8IUE6;Q93077;Q96KK5;Q96QV6;Q99878;Q9BTM1;Q71UI9-2;Q71UI9-5;Q9BTM1-2				3.90384e+06
P05023;P05023-2;P05023-4	P05023;P05023-2;P05023-4				3.77907e+06
P05026;P05026-2	P05026;P05026-2				4.49468e+06
P05060	P05060				7.51301e+08
P05067;P05067-11;P05067-8	P05067;P05067-4;P05067-10;P05067-11;P05067-3;P05067-5;P05067-6;P05067-7;P05067-8;P05067-9				2.82974e+09
P05090	P05090				4.49565e+09
P05107	P05107				1.6047e+07
P05109	P05109				409456
P05121	P05121				3.41894e+06
P05154	P05154				3.72277e+07
P05155;P05155-3	P05155;P05155-2;P05155-3				1.47912e+09
P05156	P05156				3.12703e+07
P05160	P05160				2.29914e+06
P05362	P05362				3.71476e+06
P05408;P05408-2	P05408;P05408-2				1.05564e+09
P05413	P05413				3.43187e+07
P05452	P05452				2.73423e+08
P05543	P05543				7.82904e+07
P05546	P05546				1.63178e+08
