Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_mag_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_G1_82881418_repeat.mzML
Q9BXJ4;Q9BXJ4-2;Q9BXJ4-3	Q9BXJ4;Q9BXJ4-2;Q9BXJ4-3				3.28202e+06
Q9BXN1	Q9BXN1				138933
Q9BXP8;Q9BXP8-2	Q9BXP8;Q9BXP8-2				78086
Q9BXR6	Q9BXR6				2.4317e+06
Q9BY67;Q9BY67-2;Q9BY67-3;Q9BY67-4;Q9BY67-5	Q9BY67;Q9BY67-2;Q9BY67-3;Q9BY67-4;Q9BY67-5				4.84358e+07
Q9BYC5	Q9BYC5;Q9BYC5-2				193454
Q9BYH1;Q9BYH1-5;Q9BYH1-6;Q9BYH1-7	Q9BYH1;Q9BYH1-2;Q9BYH1-3;Q9BYH1-4;Q9BYH1-5;Q9BYH1-6;Q9BYH1-7				3.43036e+07
Q9BZC7;Q9BZC7-2;Q9BZC7-3;Q9BZC7-4	Q9BZC7;Q9BZC7-2;Q9BZC7-3;Q9BZC7-4				7.77697e+06
Q9BZR6	Q9BZR6				1.72191e+07
Q9C0A0	Q9C0A0;Q96NU0;Q9BZ76;Q9BZ76-2;Q96NU0-2;Q9C0A0-2				1.99207e+07
Q9GZM5	Q9GZM5				2.57965e+07
Q9GZP0;Q9GZP0-2	Q9GZP0;Q9GZP0-2				556147
Q9GZP4;Q9GZP4-2	Q9GZP4;Q9GZP4-2				2.22966e+06
Q9GZT8;Q9GZT8-2;Q9GZT8-3	Q9GZT8;Q9GZT8-2;Q9GZT8-3				734040
Q9GZV7	Q9GZV7				759159
Q9GZX3	Q9GZS9;Q9GZX3;Q9GZS9-2				1.64595e+06
Q9GZX9	Q9GZX9				1.03453e+07
Q9H008	Q9H008;Q9H008-2				504143
Q9H0E2;Q9H0E2-2	Q9H0E2;Q9H0E2-2				155291
Q9H0Q3;Q9H0Q3-2	Q9H0Q3;Q9H0Q3-2				6.9352e+06
Q9H0R4;Q9H0R4-2	Q9H0R4;Q9H0R4-2				4.05701e+06
Q9H156;Q9H156-2	Q9H156;Q9H156-2				2.66188e+06
Q9H173	Q9H173				3.62827e+06
Q9H1U4	Q9H1U4				2.719e+06
Q9H1Z8	Q9H1Z8				2.47578e+07
Q9H257;Q9H257-2;Q9H257-3	Q9H257;Q9H257-2;Q9H257-3				1.98034e+06
Q9H299	Q9H299				2.06315e+06
Q9H2A7	Q9H2A7				536814
Q9H2B2;Q9H2B2-2	Q9H2B2;Q9H2B2-2				7.37162e+06
Q9H2E6;Q9H2E6-2	Q9H2E6;Q9H2E6-2				6.30169e+06
Q9H2G2	Q9H2G2;Q9H2G2-2				5.03832e+06
Q9H2X0;Q9H2X0-5	Q9H2X0;Q9H2X0-5				3.33953e+06
Q9H3G5	Q9H3G5				1.4712e+07
Q9H3S3	Q9H3S3				1.6179e+06
Q9H3T2;Q9H3T2-3	Q9H3T2;Q9H3T2-3				1.19111e+06
Q9H3T3;Q9H3T3-3	Q9H3T3;Q9H3T3-3				1.52704e+06
Q9H3U7;Q9H3U7-2	Q9H3U7;Q9H3U7-2				88287
Q9H492;Q9H492-2	Q9GZQ8;Q9H492;A6NCE7;Q9H492-2				394164
Q9H4A9;Q9H4A9-2	Q9H4A9;Q9H4A9-2;Q9H4A9-3				823518
Q9H4D0	Q9H4D0				2.8269e+06
Q9H4F8;Q9H4F8-2	Q9H4F8;Q9H4F8-2				2.21011e+06
Q9H6B4	Q9H6B4				2.51632e+07
Q9H6X2;Q9H6X2-2;Q9H6X2-3;Q9H6X2-4;Q9H6X2-5;Q9H6X2-6	Q9H6X2;Q9H6X2-2;Q9H6X2-3;Q9H6X2-4;Q9H6X2-5;Q9H6X2-6				5.1297e+06
Q9H741	Q9H741				1.45382e+06
Q9H7Y0	Q9H7Y0				983214
Q9H8J5	Q9H8J5;Q9H8J5-2				2.04487e+06
Q9H8L6	Q9H8L6				2.25658e+06
Q9H9S5	Q9H9S5				464684
Q9HAR2;Q9HAR2-2;Q9HAR2-3;Q9HAR2-4	Q9HAR2;Q9HAR2-2;Q9HAR2-3;Q9HAR2-4				3.29256e+06
Q9HAT2;Q9HAT2-2	Q9HAT2;Q9HAT2-2				1.07479e+07
Q9HBR0	Q9HBR0				2.61845e+06
