Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_mag_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_B7_81787765.mzML
P02766	P02766				1.74219e+09
P02768	P02768				2.3281e+10
P02774;P02774-3	P02774;P02774-2;P02774-3				8.33832e+08
P02786	P02786				1.04281e+06
P02787	P02787				5.9875e+09
P02788;P02788-2	P02788;P02788-2				4.6983e+06
P02790	P02790				9.50224e+08
P02792	P02792				2.44582e+06
P02794	P02794				7.29333e+06
P02810	P02810				627878
P03950	P03950				3.09195e+06
P03951;P03951-2	P03951;P03951-2				3.91624e+06
P03952	P03952				1.49593e+07
P04003	P04003				1.40358e+06
P04004	P04004				5.14444e+08
P04040	P04040				1.41916e+06
P04062;P04062-2;P04062-4;P04062-5	P04062;P04062-2;P04062-3;P04062-4;P04062-5				4.06599e+06
P04066	P04066				2.34572e+06
P04070;P04070-2	P04070;P04070-2				1.64439e+06
P04075	P04075;P04075-2				4.03471e+07
P04080	P04080				4.44462e+06
P04083	P04083				17214.4
P04085;P04085-2	P04085;P04085-2				8.69875e+06
P04114	P04114				5.8687e+06
P04156	P04156				2.89772e+08
P04179	P04179;P04179-2;P04179-3;P04179-4				4.68679e+06
P04180	P04180				5.16767e+07
P04196	P04196				8.14012e+07
P04216	P04216				6.16907e+08
P04217	P04217;P04217-2				2.02283e+08
P04264	P04259;P04264				1.46301e+08
P04271	P04271				1.30056e+06
P04275	P04275				2.86986e+06
P04278	P04278;P04278-5				5.14157e+06
P04350;P07437;P68371	P04350;P07437;P68371				169658
P04406	P04406;P04406-2				3.27301e+07
P04439;P04439-2	P01889;P01893;P04439;P13747;P17693;P17693-2;P17693-5;P17693-6;P04439-2				827047
P04792	P04792				1.25777e+06
P04908;P0C0S5;P0C0S8;P16104;P20671;Q16777;Q6FI13;Q71UI9;Q71UI9-2;Q7L7L0;Q93077;Q96KK5;Q96QV6;Q99878;Q9BTM1;Q9BTM1-2	P04908;P0C0S5;P0C0S8;P16104;P20671;Q16777;Q6FI13;Q71UI9;Q7L7L0;Q93077;Q96KK5;Q96QV6;Q99878;Q9BTM1;Q71UI9-2;Q71UI9-3;Q71UI9-4;Q9BTM1-2				3.69727e+06
P05023;P05023-2;P05023-4	P05023;P05023-2;P05023-4				498008
P05026;P05026-2	P05026;P05026-2				955314
P05060	P05060				3.43284e+08
P05067;P05067-11;P05067-8	P05067;P05067-4;P05067-10;P05067-11;P05067-3;P05067-5;P05067-6;P05067-7;P05067-8;P05067-9				1.3889e+09
P05089;P05089-2;P05089-3	P05089;P05089-2;P05089-3				125315
P05090	P05090				1.90107e+09
P05107	P05107				228789
P05154	P05154				1.35493e+07
P05155;P05155-3	P05155;P05155-2;P05155-3				3.64575e+08
P05156	P05156				1.68597e+07
P05160	P05160				2.25282e+06
P05362	P05362				421769
P05408;P05408-2	P05408;P05408-2				2.39877e+08
P05413	P05413				4.06185e+06
P05452	P05452				6.88097e+07
P05543	P05543				2.76828e+07
P05546	P05546				4.5494e+07
P05556;P05556-2;P05556-3;P05556-4;P05556-5	P05556;P05556-2;P05556-5;P05556-3;P05556-4				1.04823e+06
P05937	P05937;P05937-2				5.89058e+06
P06276	P06276				8.94534e+06
