Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_mag_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_E9_82882320_repeat.mzML
P78539;P78539-2;P78539-3;P78539-5	P78539;P78539-2;P78539-3;P78539-4;P78539-5				8.10942e+06
P79483;Q30154	P79483;Q30154				1.41238e+06
P80108	P80108				6.00109e+06
P80188;P80188-2	P80188;P80188-2				779499
P80303;P80303-2	P80303;P80303-2				4.50025e+06
P80404	P80404				365214
P80723	P80723;P80723-2				3.85692e+06
P80748	P80748				8.39279e+07
P81605	P81605				667601
P82987;P82987-2	P82987;P82987-2				621857
P84157	P84157;P84157-2;P84157-3				660097
P98095;P98095-2	P98095;P98095-2				8.52529e+06
P98153;P98153-2;P98153-3	P98153;P98153-2;P98153-3				1.89549e+06
P98155;P98155-2	P98155;P98155-2				2.45613e+06
P98160	P98160				1.07982e+08
P98161;P98161-2;P98161-3	P98161;P98161-3;P98161-2				513344
P98164	P98164				2.57929e+07
P98172	P98172				351346
P98173;P98173-2;P98173-3	P98173;P98173-2;P98173-3				1.75516e+06
P99999	P99999				7.01058e+06
Q00169	Q00169				293333
Q00973	Q00973;Q00973-2;Q00973-3				3.7565e+06
Q01459	Q01459				8.33933e+06
Q01469	Q01469				8.12824e+06
Q01973;Q01973-3	Q01973;Q01973-3				494538
Q01995	Q01995				1.06955e+07
Q02246	Q02246				4.41254e+07
Q02487;Q02487-2	Q02487;Q02487-2				7.55946e+06
Q02790	Q02790				299121
Q02809;Q02809-2	Q02809;Q02809-2				6.18496e+06
Q02818	Q02818				3.0397e+07
Q02985;Q02985-2	Q02985;Q92496;Q02985-2;Q92496-2;Q92496-3				4.61598e+06
Q03167;Q03167-2	Q03167;Q03167-2				1.31404e+07
Q03591	Q03591				4.046e+07
Q04721	Q04721				4.22971e+06
Q04756	Q04756				3.23228e+06
Q04760;Q04760-2	Q04760;Q04760-2				3.00185e+06
Q04917	Q04917				2.20994e+06
Q05707;Q05707-2	Q05707;Q05707-2;Q05707-3				8.03154e+06
Q05996;Q05996-2	Q05996;Q05996-2				1.99334e+06
Q06033;Q06033-2	Q06033;Q06033-2				2.74873e+06
Q06418	Q06418				9.50301e+06
Q06481	Q06481;Q06481-3;Q06481-6				3.51697e+07
Q06828	Q06828				6.7422e+07
Q06830	Q06830				1.31875e+07
Q07092;Q07092-2	Q07092;Q07092-2				3.53108e+06
Q07507	Q07507				1.90002e+06
Q07954	Q07954				1.17121e+07
Q08043	Q08043				668231
Q08174;Q08174-2	Q08174;Q08174-2				5.31488e+06
Q08257	Q08257;Q08257-3				408868
Q08345;Q08345-5	Q08345;Q08345-2;Q08345-4;Q08345-5;Q08345-6				1.14793e+07
Q08380	Q08380				1.35835e+08
Q08397	Q08397				715503
Q08431;Q08431-4	Q08431;Q08431-3;Q08431-4				5.48449e+06
Q08554;Q08554-2	Q08554;Q08554-2				1.31652e+06
Q08629	Q08629				9.82081e+06
Q08ET2	O15389;Q08ET2				1.11093e+07
Q09328	Q09328				1.54242e+06
Q0P6D2	Q0P6D2;Q0P6D2-2				8.65887e+06
Q10469	Q10469				2.56482e+06
Q10471	Q10471				9.79346e+06
Q10472	Q10472;Q8IUC8;Q8IUC8-3;Q8IUC8-2				7.62934e+06
Q10588	Q10588;Q10588-2				2.41679e+06
Q10589;Q10589-2	Q10589;Q10589-2				615626
Q12765;Q12765-2;Q12765-3	Q12765;Q12765-2;Q12765-3				559029
Q12792;Q12792-3;Q12792-4;Q6IBS0	Q12792;Q6IBS0;Q12792-3;Q12792-4				298303
Q12794;Q12794-2;Q12794-7	Q12794;Q12794-2;Q12794-4;Q12794-7				2.26362e+06
Q12797;Q12797-10	Q12797;Q12797-10				3.36363e+06
Q12805;Q12805-2;Q12805-3;Q12805-4;Q12805-5	Q12805;Q12805-2;Q12805-3;Q12805-4;Q12805-5				1.30114e+08
Q12841;Q12841-2	Q12841;Q12841-2				8.88642e+06
Q12860	Q12860;Q12860-2				1.10997e+08
Q12866	Q12866				1.54263e+06
Q12907	Q12907				4.49831e+07
Q12913;Q12913-3	Q12913;Q12913-2;Q12913-3				2.50731e+06
Q13145	Q13145				1.2206e+06
Q13214;Q13214-2	Q13214;Q13214-2				4.97719e+06
Q13217	Q13217				2.34902e+06
Q13228;Q13228-4	Q13228;Q13228-2;Q13228-3;Q13228-4				1.19564e+07
Q13231;Q13231-3	Q13231;Q13231-2;Q13231-3;Q13231-4				1.3618e+07
Q13232	Q13232				1.12443e+06
Q13275;Q13275-2	Q13275;Q13275-2				916547
Q13308;Q13308-2;Q13308-3;Q13308-4;Q13308-5;Q13308-6	Q13308;Q13308-2;Q13308-3;Q13308-4;Q13308-5;Q13308-6				1.2183e+06
Q13332-2;Q13332-6	Q13332;Q13332-2;Q13332-3;Q13332-4;Q13332-5;Q13332-6;Q13332-7				1.40783e+07
Q13332-5	Q13332;Q13332-3;Q13332-4;Q13332-5				1.68537e+06
Q13361;Q13361-2	Q13361;Q13361-2				252177
Q13404;Q13404-1;Q13404-2;Q13404-7	Q13404;Q13404-1;Q13404-2;Q13404-6;Q13404-7				2.5474e+06
Q13421-2;Q13421-3;Q13421-4	Q13421;Q13421-2;Q13421-3;Q13421-4				1.44483e+06
Q13433	Q13433				665295
Q13443;Q13443-2	Q13443;Q13443-2				2.8336e+06
Q13444;Q13444-10;Q13444-12;Q13444-2;Q13444-3;Q13444-4;Q13444-5;Q13444-6;Q13444-7;Q13444-8;Q13444-9	Q13444;Q13444-2;Q13444-10;Q13444-11;Q13444-12;Q13444-3;Q13444-4;Q13444-5;Q13444-6;Q13444-7;Q13444-8;Q13444-9				2.7359e+06
Q13449	Q13449				1.56063e+08
Q13508;Q13508-2;Q13508-3	Q13508;Q13508-2;Q13508-3				1.07465e+07
Q13510;Q13510-2	Q13510;Q13510-2;Q13510-3				1.40346e+07
Q13519;Q13519-2	Q13519;Q13519-2				287073
Q13554;Q13554-2;Q13554-3;Q13554-4;Q13554-5;Q13554-7;Q13554-8	Q13554;Q13554-3;Q13554-2;Q13554-4;Q13554-5;Q13554-6;Q13554-7;Q13554-8				2.88697e+06
Q13555;Q13555-10;Q13555-11;Q13555-2;Q13555-3;Q13555-4;Q13555-5;Q13555-6;Q13555-7;Q13555-8;Q13555-9	Q13555;Q13555-5;Q13555-10;Q13555-11;Q13555-2;Q13555-3;Q13555-4;Q13555-6;Q13555-7;Q13555-8;Q13555-9				1.95332e+06
Q13557;Q13557-10;Q13557-11;Q13557-12;Q13557-3;Q13557-4;Q13557-5;Q13557-6;Q13557-8;Q13557-9	Q13557;Q13557-8;Q13557-10;Q13557-11;Q13557-12;Q13557-3;Q13557-4;Q13557-5;Q13557-6;Q13557-9				947834
