Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_mag_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_F4_190100053.mzML
P05067;P05067-11;P05067-8	P05067;P05067-4;P05067-10;P05067-11;P05067-3;P05067-5;P05067-6;P05067-7;P05067-8;P05067-9				2.13881e+09
P05090	P05090				3.44245e+09
P05107	P05107				914328
P05109	P05109				614558
P05121	P05121				1.30829e+06
P05154	P05154				1.47633e+07
P05155;P05155-3	P05155;P05155-2;P05155-3				2.15028e+09
P05156	P05156				4.38263e+07
P05160	P05160				5.27963e+06
P05362	P05362				3.7073e+06
P05408;P05408-2	P05408;P05408-2				6.41323e+08
P05413	P05413				1.19578e+07
P05452	P05452				1.95791e+08
P05543	P05543				6.22583e+07
P05546	P05546				1.75755e+08
P05556;P05556-2;P05556-3;P05556-4;P05556-5	P05556;P05556-2;P05556-5;P05556-3;P05556-4				9.60554e+06
P05937	P05937;P05937-2				1.44586e+07
P05997	P05997				4.46213e+06
P06276	P06276				8.72264e+06
P06280	P06280				1.04169e+06
P06307	P06307				2.52699e+07
P06310	P06310				2.36248e+08
P06312	P06312				1.19524e+08
P06331	P01824;P01825;P06331;A0A0C4DH41;P0DP06;P0DP08				3.61275e+07
P06396	P06396;P06396-2;P06396-3;P06396-4				1.80994e+09
P06396-2	P06396-2				7.21428e+06
P06681	P06681;P06681-2;P06681-3				7.66866e+07
P06703	P06703				6.78892e+06
P06727	P06727				4.30339e+08
P06733	P06733;P06733-2				4.74545e+07
P06744;P06744-2	P06744;P06744-2				1.18683e+07
P06865	P06865				3.91217e+07
P07093-2;P07093-3	P07093;P07093-2;P07093-3				1.31218e+07
P07108;P07108-2;P07108-3;P07108-4;P07108-5	P07108;P07108-2;P07108-3;P07108-4;P07108-5;P07108-6				3.74776e+07
P07195	P00338;P07195;P07864;Q6ZMR3;P00338-3;P00338-2;P00338-4;P00338-5				9.2371e+07
P07197;P07197-2	P07197;P07197-2				1.81276e+06
