Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_mag_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_C3_82874751.mzML
O95980	O95980				1.02707e+07
O95998	O95998				293591
P00325;P00325-2;P00326;P07327	P00325;P00326;P07327;P00325-2				365224
P00338;P00338-3	P00338;P00338-3;P00338-4				2.08943e+07
P00352	P00352				1.44214e+06
P00390;P00390-2;P00390-3;P00390-4;P00390-5	P00390;P00390-2;P00390-3;P00390-4;P00390-5				3.63321e+06
P00441	P00441				7.84529e+08
P00450	P00450				4.06193e+08
P00488	P00488				2.1156e+06
P00492	P00492				3.23582e+06
P00505	P00505;P00505-2				4.58924e+08
P00533;P00533-3;P00533-4	P00533;P00533-2;P00533-3;P00533-4				2.27307e+06
P00558	P00558;P00558-2				1.22621e+07
P00568	P00568				2.42964e+06
P00734	P00734				5.01111e+07
P00736	P00736				1.93255e+08
P00738	P00738;P00738-2				4.95092e+08
P00739	P00739;P00739-2				4.83293e+08
P00740;P00740-2	P00740;P00740-2				6.20873e+06
P00742	P00742				2.8308e+07
P00746	P00746				6.16777e+07
P00747	P00747				1.70714e+08
P00748	P00748				1.71941e+08
P00751	P00751;P00751-2				1.45648e+08
P01008	P01008				7.45683e+08
P01009	P01009;P01009-2;P01009-3				9.94569e+09
P01011	P01011				3.22767e+09
P01019	P01019				4.61463e+08
P01023	P01023				7.02707e+08
P01024	P01024				1.81098e+09
P01031	P01031				5.02602e+07
P01033	P01033				8.80161e+07
P01034	P01034				1.95811e+10
P01036;P01037	P01036;P01037				631488
P01040	P01040				1.05911e+06
P01042	P01042;P01042-2;P01042-3				5.07858e+08
P01042-2;P01042-3	P01042-2;P01042-3				2.5274e+08
P01127;P01127-2	P01127;P01127-2				4.51024e+07
P01130;P01130-2;P01130-3;P01130-4;P01130-5;P01130-6	P01130;P01130-2;P01130-3;P01130-4;P01130-5;P01130-6				1.19907e+06
P01178	P01178				3.88705e+06
P01210	P01210				1.27089e+08
P01213	P01213				1.22762e+07
P01236	P01236				1.14349e+06
P01258;P01258-2;P06881	P01258;P06881;P10092;P01258-2				1.63614e+06
P01282;P01282-2	P01282;P01282-2				1.27027e+06
P01303	P01303				1.44106e+07
P01344;P01344-2;P01344-3	P01344;P01344-2;P01344-3				5.03586e+07
P01591	P01591				2.07257e+07
P01593;P01594	P01593;P01594				5.38747e+07
P01599	P01599;A0A0C4DH72				1.19067e+07
