Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_mag_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_E1_82883860.mzML
O94910;O94910-2	O94910;O94910-2				6.65046e+06
O94919	O94919				1.93342e+07
O94933	O94933				1.06754e+06
O94973;O94973-2	O94973;O94973-2				407588
O94985	O94985				1.54717e+06
O94985-2	O94985;O94985-2				2.96177e+08
O94991	O94991;O94991-2				5.25847e+06
O95084;O95084-2	O95084;O95084-2				2.88402e+06
O95157	O95157				1.98974e+06
O95158	O95158				1.62698e+07
O95159	O95159				1.27082e+06
O95185;O95185-2	O95185;O95185-2				3.01019e+06
O95196;O95196-2	O95196;O95196-2				7.55352e+06
O95206;O95206-2	O95206;O95206-2				6.44086e+06
O95297;O95297-2;O95297-3;O95297-4	O95297;O95297-2;O95297-3;O95297-4				850106
O95336	O95336				2.19456e+06
O95390	O95390				2.01726e+06
O95428;O95428-5;O95428-6	O95428;O95428-3;O95428-4;O95428-5;O95428-6				7.32304e+06
O95445	O95445;O95445-2				1.67649e+07
O95450;O95450-2	O95450;O95450-2				1.27901e+06
O95467	O95467				543838
O95477	O95477				1.23986e+06
O95479;O95479-2	O95479;O95479-2				1.9462e+06
O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7	O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7				72592.7
O95497	O95497				1.43215e+06
O95502	O95502				1.12912e+08
O95633;O95633-2	O95633;O95633-2				3.29228e+06
O95841	O95841				882113
O95865	O95865				1.4634e+06
O95881	O95881				136445
O95897	O95897				953376
O95967	O95967				1.72475e+07
O95970;O95970-3	O95970;O95970-3				1.82741e+06
O95980	O95980				1.24497e+07
O95998	O95998;O95998-4				7.0242e+06
P00325;P00325-2;P00326	P00325;P00326;P07327;P00325-2				524255
P00338;P00338-3	P00338;P00338-3;P00338-4				9.72654e+06
P00352	P00352				836038
P00390;P00390-2;P00390-3	P00390;P00390-2;P00390-3;P00390-4;P00390-5				4.43265e+06
P00441	P00441				3.63769e+08
P00450	P00450				1.23581e+08
P00488	P00488				2.18156e+06
P00492	P00492				2.40292e+06
P00505	P00505;P00505-2				8.51921e+06
P00533;P00533-3;P00533-4	P00533;P00533-3;P00533-4				1.37416e+06
P00558	P00558;P00558-2				6.71586e+06
P00568	P00568				921184
P00734	P00734				1.02203e+08
P00736	P00736				9.65201e+07
P00738;P00738-2	P00738;P00738-2				606422
P00739	P00739;P00739-2				2.94295e+06
P00740;P00740-2	P00740;P00740-2				4.51439e+06
P00742	P00742				1.8679e+07
P00746	P00746				3.6266e+07
P00747	P00747				1.27698e+08
P00748	P00748				5.72048e+07
P00751	P00751;P00751-2				1.10232e+08
P00915	P00915				4.52291e+06
P00918	P00918				1.0577e+06
P01008	P01008				7.17442e+08
P01009	P01009;P01009-2;P01009-3				3.79836e+09
P01011	P01011				1.86474e+09
P01019	P01019				4.28686e+08
P01023	P01023				6.6198e+08
P01024	P01024				1.23017e+09
P01031	P01031				2.93953e+07
P01033	P01033				8.81809e+07
P01034	P01034				1.69657e+10
P01042	P01042;P01042-2;P01042-3				2.23804e+08
P01042-2;P01042-3	P01042-2;P01042-3				1.48588e+08
P01127;P01127-2	P01127;P01127-2				2.6122e+07
