Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_E4_190225869_repeat2.mzML
P06396	P06396;P06396-2;P06396-3;P06396-4				3.59463e+08
P06396-2	P06396-2				2.03882e+06
P06681	P06681;P06681-2;P06681-3				1.82549e+07
P06702	P06702				176558
P06703	P06703				4.40918e+06
P06727	P06727				1.18293e+08
P06733	P06733;P06733-2				1.44643e+07
P06744;P06744-2	P06744;P06744-2				4.85666e+06
P06748;P06748-2;P06748-3	P06748;P06748-2;P06748-3				824030
P06865	P06865				7.44326e+06
P07093-2;P07093-3	P07093;P07093-2;P07093-3				3.33327e+06
P07108;P07108-2;P07108-3;P07108-4;P07108-5	P07108;P07108-2;P07108-3;P07108-4;P07108-5;P07108-6				7.16491e+06
P07195	P00338;P07195;P07864;Q6ZMR3;P00338-3;P00338-2;P00338-4;P00338-5				2.37483e+07
P07225	P07225				5.74342e+07
P07237	P07237				1.22093e+06
P07311	P07311				410904
P07333	P07333;P07333-2				4.45796e+07
P07339	P07339				1.22104e+08
P07357	P07357				1.69543e+07
P07358	P07358				1.46258e+07
P07360	P07360				6.2136e+06
P07585	P07585;P07585-4				2.27189e+07
P07602;P07602-2;P07602-3	P07602;P07602-2;P07602-3				1.68271e+08
P07686	P07686				4.84914e+06
P07711;P07711-3	P07711;P07711-3				1.87327e+07
P07737	P07737				3.1768e+06
P07858	P07858				2.4914e+07
P07900;P07900-2	P07900;P07900-2				897484
P07942	P07942				3.09429e+06
P07996	P07996;P07996-2				2.79016e+06
P07998	P07998				1.17405e+07
P08123	P08123				2.27856e+07
P08174;P08174-2;P08174-3;P08174-4;P08174-5;P08174-6;P08174-7	P08174;P08174-2;P08174-3;P08174-4;P08174-5;P08174-6;P08174-7				1.02787e+07
P08185	P08185				2.76595e+07
P08195;P08195-2;P08195-3;P08195-4;P08195-5	P08195;P08195-4;P08195-2;P08195-3;P08195-5				4.90371e+06
P08253	P08253;P08253-2;P08253-3				2.4274e+07
P08294	P08294				1.50901e+08
P08493-2	P08493;P08493-2				2.50064e+07
P08571	P08571				8.50642e+07
P08572	P08572				4.47873e+06
P08581;P08581-2	P08581;P08581-2				554553
P08582	P08582				724643
P08603	P08603;P08603-2				5.42368e+07
P08637	P08637				2.68422e+06
P08670	P08670;P17661				7.1494e+06
P08697	P08697;P08697-2				8.19146e+07
P08709;P08709-2	P08709;P08709-2				713234
P08758	P08758				1.04562e+06
P09104	P09104;P09104-2				6.4678e+06
P09211	P09211				3.12498e+06
P09382	P09382				1.27634e+07
P09417;P09417-2	P09417;P09417-2				9.69375e+06
P09486	P09486				9.16361e+07
P09603	P09603				1.40557e+07
P09619	P09619;P09619-2				1.28218e+07
P09622;P09622-2	P09622;P09622-2;P09622-3				1.22272e+07
P09668	P09668				8.02537e+06
P09871	P09871				5.72952e+07
P09936	P09936				1.73313e+06
P09958	P09958				667549
P09972	P04075;P09972;P04075-2				1.94824e+07
P0C0L4;P0C0L4-2	P0C0L4;P0C0L4-2				8.987e+07
P0C0L5	P0C0L4;P0C0L5;P0C0L4-2				4.73847e+08
P0C6S8	P0C6S8				805111
P0CG47;P0CG48;P62979;P62987	P0CG47;P0CG48;P62979;P62987				1.05805e+08
P0DMQ5	P0DMQ5				9.49752e+06
P0DMV8;P0DMV8-2;P0DMV9	P0DMV8;P0DMV9;P0DMV8-2				1.43225e+06
P0DOX2	P01876;P01877;P01876-1;P01877-1;P0DOX2				5.78504e+07
P0DOX3	P0DOX3				9.8694e+06
P0DOX7	P01834;P0DOX7				2.52139e+08
P0DOY2;P0DOY3	P0DOY2;P0DOY3				4.15617e+08
P0DP23;P0DP24;P0DP25	P0DP23;P0DP24;P0DP25;P27482				1.49139e+06
P0DP58	P0DP58				8.47093e+07
P0DTE1	P0DTE1				2.57637e+06
P10124	P10124				8.91784e+06
P10153	P10153				2.66523e+07
P10253	P10253				3.25246e+06
P10451-3	P10451-3				3.58354e+07
P10451-5	P10451;P10451-4;P10451-5				1.82224e+08
P10451;P10451-4	P10451;P10451-4				2.00319e+06
