Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_B3_79113129.mzML
P04180	P04180				7.53288e+07
P04196	P04196				1.78949e+08
P04216	P04216				1.14929e+09
P04217	P04217;P04217-2				4.17603e+08
P04217-2	P04217-2				3.06543e+06
P04233-2;P04233-5	P04233-2;P04233-5				590139
P04264	P04259;P04264				5.63057e+07
P04271	P04271				2.30023e+06
P04275	P04275				1.09541e+07
P04278	P04278;P04278-2;P04278-3;P04278-4;P04278-5				1.47076e+07
P04350;P07437;P68371	P04350;P07437;P68371				1.19913e+06
P04406	P04406;P04406-2				1.15382e+08
P04439;P04439-2	P01893;P04439;P04439-2				1.26151e+07
P04629;P04629-2;P04629-3;P04629-4	P04629;P04629-2;P04629-3;P04629-4				429134
P04746	P04746;P0DTE7;P0DTE8;P0DUB6;P19961;P19961-2;P04746-2				2.73598e+06
P04792	P04792				1.57144e+06
P04908;P0C0S5;P0C0S8;P16104;P20671;Q16777;Q6FI13;Q71UI9;Q71UI9-2;Q71UI9-5;Q7L7L0;Q8IUE6;Q93077;Q96KK5;Q96QV6;Q99878;Q9BTM1;Q9BTM1-2	P04908;P0C0S5;P0C0S8;P16104;P20671;Q16777;Q6FI13;Q71UI9;Q7L7L0;Q8IUE6;Q93077;Q96KK5;Q96QV6;Q99878;Q9BTM1;Q71UI9-2;Q71UI9-5;Q9BTM1-2				1.94105e+06
P05023;P05023-2;P05023-4	P05023;P05023-2;P05023-4				1.85113e+06
P05026;P05026-2	P05026;P05026-2				2.67636e+06
P05060	P05060				1.10671e+09
P05067;P05067-11;P05067-8	P05067;P05067-4;P05067-10;P05067-11;P05067-3;P05067-5;P05067-6;P05067-7;P05067-8;P05067-9				2.31518e+09
P05090	P05090				4.36944e+09
P05107	P05107				427071
P05109	P05109				255843
P05121	P05121				527222
P05154	P05154				2.95005e+07
P05155;P05155-3	P05155;P05155-2;P05155-3				7.5789e+08
P05156	P05156				2.41094e+07
P05160	P05160				3.64435e+06
P05362	P05362				2.32246e+06
P05408;P05408-2	P05408;P05408-2				5.81844e+08
P05413	P05413				1.74316e+07
P05452	P05452				2.11099e+08
P05543	P05543				5.21336e+07
P05546	P05546				1.38423e+08
P05556;P05556-2;P05556-3;P05556-4;P05556-5	P05556;P05556-2;P05556-5;P05556-3;P05556-4				1.90894e+06
P05937	P05937;P05937-2				1.0219e+07
P05997	P05997				3.32643e+06
P06276	P06276				1.31252e+07
P06307	P06307				1.07384e+08
P06310	P06310				1.83597e+08
P06312	P06312				3.30218e+08
P06331	P01824;P01825;P06331;A0A0C4DH41;P0DP06;P0DP08				7.91726e+07
P06396	P06396;P06396-2;P06396-3;P06396-4				1.68372e+09
P06396-2	P06396-2				1.48196e+07
P06681	P06681;P06681-2;P06681-3				5.77733e+07
P06702	P06702				3.53069e+06
P06703	P06703				4.72667e+06
P06727	P06727				6.0371e+08
P06733	P06733;P06733-2				2.37758e+07
P06744;P06744-2	P06744;P06744-2				1.98481e+07
P06753;P06753-2;P06753-3;P06753-4;P06753-5;P06753-6;P06753-7;P67936;P67936-2	P06753;P67936;P06753-2;P06753-3;P06753-4;P06753-5;P06753-6;P06753-7;P67936-2				1.56318e+06
P06865	P06865				1.74515e+07
P07093-2;P07093-3	P07093;P07093-2;P07093-3				9.22278e+06
P07108;P07108-2;P07108-3;P07108-4;P07108-5	P07108;P07108-2;P07108-3;P07108-4;P07108-5;P07108-6				2.91459e+07
P07195	P00338;P07195;P07864;Q6ZMR3;P00338-3;P00338-2;P00338-4;P00338-5				6.36062e+07
P07196	P07196				905901
P07225	P07225				1.28697e+08
P07237	P07237				8.27613e+06
P07307;P07307-2;P07307-3	P07307;P07307-3;P07307-2				864112
P07311	P07311				2.3962e+06
P07333	P07333;P07333-2				1.27581e+08
P07339	P07339				2.09542e+08
P07357	P07357				2.01759e+07
P07358	P07358				2.99428e+07
P07360	P07360				1.49302e+07
P07492	P07492;P07492-2;P07492-3				4.47311e+06
P07585	P07585;P07585-4				6.81838e+07
P07602;P07602-2;P07602-3	P07602;P07602-2;P07602-3				4.72814e+07
P07686	P07686				2.00083e+07
P07711	P07711;P07711-3				3.56144e+07
P07737	P07737				4.51904e+06
P07858	P07858				9.69736e+07
P07900;P07900-2	P07900;P08238;Q14568;Q58FF8;P07900-2				3.03331e+06
P07942	P07942				8.05878e+06
P07996	P07996;P07996-2				5.50325e+06
P07998	P07998				3.0004e+07
P08123	P08123				6.27383e+07
P08174;P08174-2;P08174-3;P08174-4;P08174-5;P08174-6;P08174-7	P08174;P08174-2;P08174-3;P08174-4;P08174-5;P08174-6;P08174-7				3.59707e+07
P08185	P08185				2.88933e+08
P08195;P08195-2;P08195-3;P08195-4;P08195-5	P08195;P08195-4;P08195-2;P08195-3;P08195-5				1.29566e+07
P08236;P08236-3	P08236;P08236-3				1.41189e+06
P08238	P08238;Q58FF7				523970
P08253	P08253;P08253-2;P08253-3				6.3968e+07
P08294	P08294				2.92332e+08
P08493;P08493-2	P08493;P08493-2				2.96124e+07
P08571	P08571				4.40752e+08
P08572	P08572				5.67273e+06
P08581;P08581-2	P08581;P08581-2				2.69949e+06
P08582	P08582;P08582-2				4.87021e+06
P08603	P08603				2.17601e+08
P08637	P08637				2.35695e+07
P08670	P08670				2.82641e+06
P08697	P08697;P08697-2				3.01369e+08
P08758	P08758				2.73447e+06
P08833	P08833				1.41359e+06
P08949;P08949-2	P08949;P08949-2				36669
P09104	P09104;P09104-2				2.20228e+07
P09172	P09172				548353
P09211	P09211				1.35037e+07
P09382	P09382				2.481e+07
P09417;P09417-2	P09417;P09417-2				2.23097e+07
P09486	P09486				2.00839e+08
P09603	P09603;P09603-2;P09603-3				1.06983e+08
P09619	P09619;P09619-2				6.24322e+06
P09622	P09622;P09622-2;P09622-3				3.35957e+06
P09668	P09668				4.59292e+07
P09871	P09871				1.30845e+08
P09936	P09936				5.95652e+06
P09958	P09958				8.36077e+06
P09960;P09960-4	P09960;P09960-2;P09960-3;P09960-4				1.15507e+06
P09972	P04075;P09972;P04075-2				6.6477e+07
P0C0L4;P0C0L4-2	P0C0L4;P0C0L4-2				2.2057e+08
P0C0L5	P0C0L4;P0C0L5;P0C0L4-2				1.07675e+09
P0C6S8	P0C6S8				5.08612e+06
P0CG47;P0CG48	P0CG47;P0CG48;P62979;P62987				2.2945e+08
P0DJI8;P0DJI9	P0DJI8;P0DJI9				1.1758e+06
P0DMQ5	P0DMQ5				2.52496e+07
P0DMV8;P0DMV8-2;P0DMV9	P0DMV8;P0DMV9;P0DMV8-2				3.83236e+06
P0DOX2	P01876;P01877;P01876-1;P01877-1;P0DOX2				5.5784e+08
P0DOX3	P0DOX3				3.63108e+07
P0DOX5	P01857;P01859;P0DOX5;P01857-1;P01859-1				8.80837e+09
P0DOX7	P01834;P0DOX7				7.23836e+08
P0DOX8	B9A064;P0DOX8				3.79584e+08
P0DOY2;P0DOY3	P0DOY2;P0DOY3				9.7722e+08
P0DP23;P0DP24;P0DP25	P0DP23;P0DP24;P0DP25;P27482				5.19347e+06
P0DP58	P0DP58				2.9439e+08
P0DTE1	P0DTE1				4.35759e+06
P10124	P10124				1.09168e+07
P10153	P10153				3.52256e+07
P10253	P10253				8.24481e+06
P10321;P10321-2	P10321;P10321-2				2.65024e+06
P10451-3	P10451-3				4.21224e+07
P10451-5	P10451;P10451-4;P10451-5				4.96322e+08
P10451;P10451-4	P10451;P10451-4				2.55381e+06
P10586;P10586-2	P10586;P10586-2				1.9899e+07
P10599	P10599;P10599-2				2.13166e+07
