Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_C7_81790598_repeat2.mzML
P06276	P06276				5.29112e+06
P06307	P06307				4.77003e+07
P06310	P06310				7.9478e+07
P06312	P06312				1.35961e+08
P06396	P06396;P06396-2;P06396-3;P06396-4				4.93204e+08
P06396-2	P06396-2				1.17204e+06
P06681	P06681;P06681-2;P06681-3				2.78857e+07
P06702	P06702				86251.7
P06703	P06703				1.04515e+06
P06727	P06727				2.8417e+08
P06733	P06733;P06733-2				2.28586e+06
P06744;P06744-2	P06744;P06744-2				2.67752e+06
P06865	P06865				8.19687e+06
P07093-2;P07093-3	P07093;P07093-2;P07093-3				1.00389e+06
P07108;P07108-2;P07108-3;P07108-4;P07108-5	P07108;P07108-2;P07108-3;P07108-4;P07108-5;P07108-6				1.34213e+07
P07195	P00338;P07195;P07864;Q6ZMR3;P00338-3;P00338-2;P00338-4;P00338-5				1.21328e+07
P07225	P07225				4.00807e+07
P07237	P07237				1.5587e+06
P07311	P07311				781431
P07333	P07333;P07333-2				5.39067e+07
P07339	P07339				4.62768e+07
P07357	P07357				1.20054e+07
P07358	P07358				1.36001e+07
P07360	P07360				1.07513e+07
P07585	P07585				1.93952e+07
P07602;P07602-2;P07602-3	P07602;P07602-2;P07602-3				2.08581e+07
P07686	P07686				5.64577e+06
P07711	P07711;P07711-3				8.32148e+06
P07737	P07737				1.38179e+06
P07858	P07858				1.83537e+07
P07900;P07900-2	P07900;P07900-2				549810
P07942	P07942				1.99945e+06
P07996	P07996;P07996-2				1.166e+06
P07998	P07998				8.88823e+06
P08123	P08123				1.96588e+07
P08174;P08174-2;P08174-3;P08174-4;P08174-5;P08174-6;P08174-7	P08174;P08174-2;P08174-3;P08174-4;P08174-5;P08174-6;P08174-7				1.21557e+07
P08185	P08185				4.75331e+07
P08195;P08195-2;P08195-3;P08195-4;P08195-5	P08195;P08195-4;P08195-2;P08195-3;P08195-5				4.78494e+06
P08238	P08238				411079
P08253	P08253;P08253-2;P08253-3				1.02122e+07
P08294	P08294				3.25941e+07
P08493-2	P08493;P08493-2				1.76777e+07
P08571	P08571				8.68496e+07
P08572	P08572				1.22341e+06
P08581;P08581-2	P08581;P08581-2				629310
P08582	P08582				1.17666e+06
P08603	P08603				6.83999e+07
P08637	P08637				1.42069e+06
P08670	P05787;P08670;P08729;P17661;P41219;Q9NSB2;P05787-2;P41219-2				393476
P08697	P08697;P08697-2				1.45166e+08
P08758	P08758				1.00124e+06
P08779	P08779				663471
P09104	P09104;P09104-2				5.51896e+06
P09172	P09172				500742
P09211	P09211				1.95535e+06
P09382	P09382				4.58205e+06
P09417;P09417-2	P09417;P09417-2				6.83354e+06
P09486	P09486				4.71932e+07
P09603	P09603				2.81665e+07
P09619	P09619;P09619-2				4.22768e+06
P09622;P09622-3	P09622;P09622-2;P09622-3				7.02861e+06
P09668	P09668				1.43832e+07
P09871	P09871				6.79015e+07
P09936	P09936				1.88921e+06
P09960;P09960-4	P09960;P09960-2;P09960-3;P09960-4				180634
P09972	P04075;P09972;P04075-2				1.54644e+07
P0C0L4;P0C0L4-2	P0C0L4;P0C0L4-2				5.22852e+07
P0C0L5	P0C0L4;P0C0L5;P0C0L4-2				2.36129e+08
P0C6S8	P0C6S8				734788
P0CF74	P0CF74				285629
P0CG47;P0CG48;P62979;P62987	P0CG47;P0CG48;P62979;P62987				6.89012e+07
P0DJI8;P0DJI9	P0DJI8;P0DJI9				331660
P0DMQ5	P0DMQ5				1.52503e+07
P0DMV8;P0DMV8-2;P0DMV9	P0DMV8;P0DMV9;P0DMV8-2				3.53044e+06
P0DOX2	P01876;P01877;P01876-1;P01877-1;P0DOX2				1.93097e+08
P0DOX3	P0DOX3				1.24123e+07
P0DOX5	P01857;P01859;P0DOX5;P01857-1;P01859-1				3.22471e+09
P0DOX7	P01834;P0DOX7				1.26576e+08
P0DOX8	B9A064;P0DOX8				1.0631e+08
P0DOY2;P0DOY3	P0DOY2;P0DOY3				1.12576e+08
P0DP08	P01824;P01825;P06331;A0A0C4DH41;P0DP06;P0DP08				4.28399e+06
P0DP23;P0DP24;P0DP25	P0DP23;P0DP24;P0DP25;P27482				479763
P0DP58	P0DP58				8.53838e+07
P0DTE1	P0DTE1				1.29035e+06
P0DTE7;P0DTE8;P0DUB6	P04746;P0DTE7;P0DTE8;P0DUB6;P19961;P19961-2;P04746-2				545974
P10124	P10124				2.10212e+06
P10153	P10153				2.50177e+06
P10253	P10253				3.57837e+06
P10451-3	P10451-3				4.21155e+06
P10451-5	P10451;P10451-4;P10451-5				1.38195e+08
P10586;P10586-2	P10586;P23468;P10586-2;P23468-3;P23468-4;P23468-5;P23468-6;P23468-7				3.56184e+06
P10599	P10599;P10599-2				7.50807e+06
P10619;P10619-2	P10619;P10619-2				241072
P10636-2;P10636-6	P10636;P10636-8;P10636-6;P10636-2;P10636-3;P10636-4;P10636-5;P10636-7;P10636-9				417848
P10643	P10643				5.32886e+07
P10644;P10644-2	P10644;P10644-2				439960
P10645	P10645				2.51709e+08
P10721;P10721-2	P10721;P10721-2				1.63123e+06
P10745	P10745				1.45989e+06
P10768	P10768				866103
P10909-6	P10909;P10909-4;P10909-6;P10909-2;P10909-3;P10909-5				1.58291e+09
P11021	P11021				5.51665e+06
P11047	P11047				2.14322e+06
P11117	P11117				2.02598e+06
P11142	P11142				6.00722e+06
P11279	P11279;P11279-2				4.65727e+06
P11362;P11362-2;P11362-20;P11362-8;P11362-9	P11362;P11362-10;P11362-11;P11362-12;P11362-13;P11362-14;P11362-16;P11362-18;P11362-19;P11362-2;P11362-20;P11362-21;P11362-3;P11362-4;P11362-5;P11362-6;P11362-7;P11362-8;P11362-9				1.86861e+07
P11597;P11597-2	P11597;P11597-2				556961
P11717	P11717				1.99924e+06
P12107;P12107-2;P12107-3;P12107-4	P12107;P12107-2;P12107-3;P12107-4				279077
P12109	P12109				3.60604e+07
P12110	P12110;P12110-2;P12110-3				3.26308e+06
P12111	P12111;P12111-2;P12111-4				1.02935e+07
P12111-4	P12111-4				306697
P12259	P12259				9.26241e+06
P12272;P12272-2;P12272-3	P12272;P12272-2;P12272-3				1.42964e+06
P12277	P12277				4.40482e+06
