Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_D10_190224386.mzML
O95445	O95445				1.38809e+06
O95445-2	O95445;O95445-2				6.08887e+07
O95450;O95450-2	O95450;O95450-2				1.67659e+06
O95467	O95467				2.92027e+06
O95477	O95477				7.31056e+06
O95497	O95497				5.23007e+06
O95502	O95502				1.90857e+08
O95633;O95633-2	O95633;O95633-2				6.85431e+06
O95747	O95747				115961
O95841	O95841				585671
O95865	O95865				2.78767e+06
O95881	O95881				515111
O95897	O95897				2.20764e+06
O95967	O95967				2.55066e+07
O95970;O95970-3	O95970;O95970-3				616060
O95980	O95980				8.68504e+06
O95998	O95998				722550
P00338;P00338-3	P00338;P00338-3;P00338-4				1.50213e+07
P00352	P00352				1.19308e+06
P00390;P00390-2;P00390-3;P00390-4;P00390-5	P00390;P00390-2;P00390-3;P00390-4;P00390-5				2.99081e+06
P00441	P00441				8.39028e+08
P00450	P00450				3.49711e+08
P00488	P00488				3.65057e+06
P00492	P00492				2.87072e+06
P00505	P00505;P00505-2				1.10336e+07
P00533;P00533-3;P00533-4	P00533;P00533-2;P00533-3;P00533-4				6.51116e+06
P00558	P00558;P00558-2				1.04273e+07
P00734	P00734				1.16536e+08
P00736	P00736				1.34006e+08
P00738	P00738;P00738-2				1.91734e+09
P00739	P00739;P00739-2				1.31914e+09
P00740;P00740-2	P00740;P00740-2				7.44561e+06
P00742	P00742				2.70516e+07
P00746	P00746				8.27814e+07
P00747	P00747				2.3445e+08
P00748	P00748				5.39523e+07
P00751	P00751;P00751-2				1.69617e+08
P00813	P00813				330973
P00918	P00918				483379
P01008	P01008				7.92532e+08
P01009	P01009;P01009-2;P01009-3				8.23321e+09
P01011	P01011				8.45529e+08
P01019	P01019				5.43499e+08
P01023	P01023				5.37967e+08
P01024	P01024				1.57904e+09
P01031	P01031				9.54152e+07
P01033	P01033				8.21946e+07
P01034	P01034				8.08363e+09
P01042	P01042;P01042-2;P01042-3				2.13351e+08
