Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_C12_168743858_repeat.mzML
Q6UX71	Q6UX71;Q6UX71-2				5.90341e+07
Q6UX72	Q6UX72				2.8526e+06
Q6UX73;Q6UX73-2	Q6UX73;Q6UX73-2				4.72797e+07
Q6UXB8	Q6UXB8;Q6UXB8-2				4.82943e+07
Q6UXD5-3;Q6UXD5-5	Q6UXD5;Q6UXD5-2;Q6UXD5-3;Q6UXD5-4;Q6UXD5-5;Q6UXD5-6				6.15816e+07
Q6UXH9;Q6UXH9-2	Q6UXH9;Q6UXH9-2;Q6UXH9-3				3.39094e+06
Q6UXI9;Q6UXI9-3;Q6UXI9-4;Q6UXI9-5;Q6UXI9-6	Q6UXI9;Q6UXI9-2;Q6UXI9-3;Q6UXI9-4;Q6UXI9-5;Q6UXI9-6				2.1572e+06
Q6UXK2	Q6UXK2				2.38271e+06
Q6UXK5	Q6UXK5				4.12771e+06
Q6UXZ4;Q6UXZ4-2	Q6UXZ4;Q6UXZ4-2				3.15127e+06
Q6UY14;Q6UY14-2;Q6UY14-3	Q6UY14;Q6UY14-3;Q6UY14-2				1.07552e+06
Q6YHK3	Q6YHK3;Q6YHK3-2;Q6YHK3-4				4.77289e+06
Q6ZMI3;Q6ZMI3-2	Q6ZMI3;Q6ZMI3-2				1.77196e+07
Q6ZMP0;Q6ZMP0-2	Q6ZMP0;Q6ZMP0-2				1.52254e+06
Q6ZN30;Q6ZN30-2	Q6ZN30;Q6ZN30-2				3.57633e+06
Q6ZRP7	Q6ZRP7				1.07303e+07
Q6ZSJ9;Q6ZSJ9-2;Q6ZSJ9-3	Q6ZSJ9;Q6ZSJ9-2;Q6ZSJ9-3				5.45901e+07
Q6ZVL6	Q6ZVL6;Q6ZVL6-2				7.37343e+06
Q70JA7	Q70JA7				44474.4
Q76KP1	Q76KP1				1.66674e+06
Q76LX8;Q76LX8-2;Q76LX8-3;Q76LX8-4	Q76LX8;Q76LX8-2;Q76LX8-3;Q76LX8-4				246065
Q7KYR7;Q7KYR7-1;Q7KYR7-4;Q7KYR7-5;Q7KYR7-6;Q8WVV5;Q8WVV5-2;Q8WVV5-3	Q7KYR7;Q8WVV5;Q7KYR7-4;Q7KYR7-1;Q7KYR7-5;Q7KYR7-6;Q8WVV5-2;Q8WVV5-3				969078
Q7L014	Q7L014				6.69773e+07
Q7L0X0	Q7L0X0				1.01919e+06
Q7L266	Q7L266;Q7L266-2				681312
Q7L985	Q7L985				1.0523e+07
Q7LFX5	Q7LFX5				1.02183e+07
