Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_A7_79061681_repeat.mzML
P01768;P0DP03	P01768;P01772;P0DP02;P0DP03				8.54328e+07
P01772	P01772				5.0512e+06
P01780	P01780				7.03508e+07
P01814	P01814				5.96299e+06
P01817	P01817				4.46794e+06
P01833	P01833				3.02185e+06
P01834	P01834				8.98368e+08
P01859;P01859-1	P01859;P01859-1				2.7446e+09
P01860;P01860-1	P01860;P01860-1				2.09906e+08
P01861;P01861-1	P01861;P01861-1				2.39521e+08
P01871;P01871-1	P01871;P0DOX6;P01871-1				9.68326e+07
P01876;P01876-1	P01876;P01876-1				7.36657e+08
P01889	P01889				1.97739e+06
P01903	P01903;P01906				1.98054e+06
P01911	P01911				7.14614e+06
P02042	P02042				1.32323e+06
P02144	P02144				1.97192e+06
P02452	P02452				4.16333e+07
P02461	P02461;P02461-2				1.1411e+07
P02533	P02533;Q04695				2.43934e+06
P02647	P02647				8.2356e+09
P02649	P02649				5.51353e+09
P02652	P02652				8.02468e+08
P02654	P02654				1.83717e+08
P02655	P02655				1.95803e+07
P02656	P02656				7.43804e+07
P02671	P02671;P02671-2				2.0153e+08
P02675	P02675				4.15354e+08
P02679;P02679-2	P02679;P02679-2				1.55938e+08
P02741	P02741				3.30109e+06
P02743	P02743				1.52716e+07
P02745	P02745				1.19869e+08
P02746	P02746				2.90236e+08
P02747	P02747				2.39978e+08
P02748	P02748				9.46528e+07
P02749	P02749				2.13739e+08
P02750	P02750				3.62174e+08
P02751;P02751-1	P02751;P02751-1;P02751-10;P02751-11;P02751-12;P02751-13;P02751-14;P02751-16;P02751-17;P02751-2;P02751-3;P02751-4;P02751-5;P02751-6;P02751-7;P02751-8;P02751-9				4.82127e+08
P02753	P02753				2.30149e+08
P02760	P02760				1.53937e+08
P02763	P02763				4.2921e+09
P02765	P02765				1.32451e+09
P02766	P02766				5.30619e+09
P02768	P02768				4.21712e+10
P02774;P02774-3	P02774;P02774-2;P02774-3				1.70667e+09
P02786	P02786				1.11759e+06
P02787	P02787				7.41832e+09
P02790	P02790				4.19544e+09
P02792	P02792				6.50205e+06
P02794	P02794				9.18562e+06
P03950	P03950				7.65223e+06
P03951	P03951;P03951-2				7.67396e+06
P03952	P03952				2.44877e+07
P04003	P04003				5.77093e+06
P04004	P04004				1.04647e+09
P04040	P04040				172202
P04062;P04062-2;P04062-4;P04062-5	P04062;P04062-2;P04062-4;P04062-5				5.45233e+06
P04066	P04066				1.02146e+07
P04070;P04070-2	P04070;P04070-2				1.14023e+07
P04075	P04075;P04075-2				4.26172e+07
P04080	P04080				9.81002e+06
P04085;P04085-2	P04085;P04085-2				1.79725e+07
P04114	P04114				1.39826e+08
P04156	P04156				4.74981e+08
P04179	P04179;P04179-2;P04179-3;P04179-4				1.06959e+07
P04180	P04180				6.28651e+07
P04196	P04196				2.21729e+08
P04216	P04216				7.29103e+08
P04217	P04217;P04217-2				5.25835e+08
P04217-2	P04217-2				6.46212e+06
P04264	P04259;P04264				2.61077e+07
P04271	P04271				3.92518e+06
P04275	P04275				7.00126e+06
P04278	P04278;P04278-5				2.1023e+07
P04406	P04406;P04406-2				1.15951e+07
P04430	P04430				1.07614e+06
P04439;P04439-2	P01893;P04439;P04439-2				3.40983e+06
P04746	P04746;P0DTE7;P0DTE8;P0DUB6;P19961;P19961-2;P04746-2				1.62664e+06
P04792	P04792				2.42309e+06
P05023;P05023-2;P05023-4	P05023;P05023-2;P05023-4				1.22406e+06
P05026;P05026-2	P05026;P05026-2				913370
P05060	P05060				1.23839e+09
P05067;P05067-11;P05067-8	P05067;P05067-4;P05067-10;P05067-11;P05067-3;P05067-5;P05067-6;P05067-7;P05067-8;P05067-9				1.19773e+09
P05090	P05090				5.36971e+09
P05109	P05109				984682
P05121;P05121-2	P05121;P05121-2				877831
P05154	P05154				2.1681e+07
P05155;P05155-3	P05155;P05155-2;P05155-3				9.32647e+08
P05156	P05156				6.42269e+07
P05160	P05160				5.26818e+06
P05362	P05362				2.74972e+06
P05408;P05408-2	P05408;P05408-2				5.28986e+08
P05413	P05413				7.9866e+06
P05451;P48304	P05451;P48304				680214
P05452	P05452				2.08167e+08
P05543	P05543				6.67474e+07
P05546	P05546				2.32083e+08
P05556;P05556-2;P05556-3;P05556-4;P05556-5	P05556;P05556-2;P05556-5;P05556-3;P05556-4				2.82737e+06
P05937	P05937;P05937-2				1.56281e+07
P05997	P05997				1.54897e+06
P06276	P06276				1.07908e+07
P06307	P06307				3.27498e+07
P06310	P06310				3.62518e+08
P06312	P06312				5.7514e+08
P06331	P01824;P01825;P06331;A0A0C4DH41;P0DP06;P0DP08				8.71005e+07
P06396	P06396;P06396-2;P06396-3;P06396-4				2.24176e+09
P06396-2	P06396-2				5.52405e+06
P06681	P06681;P06681-2;P06681-3				4.64846e+07
P06702	P06702				1.12742e+06
P06703	P06703				5.37307e+06
P06727	P06727				5.50183e+08
P06733	P06733;P06733-2				8.05179e+06
P06744;P06744-2	P06744;P06744-2				5.40648e+06
P06865	P06865				1.27945e+07
