Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_E8_129188551_190304214129.mzML
P01772	P01768;P01772;P0DP02;P0DP03				3.30828e+07
P01780	P01780				1.22389e+08
P01817	P01817				1.32707e+07
P01833	P01833				562873
P01834	P01834				4.61398e+08
P01857;P01857-1;P0DOX5	P01857;P01859;P0DOX5;P01857-1;P01859-1				6.61267e+09
P01859;P01859-1	P01859;P01859-1				9.91184e+08
P01860;P01860-1	P01860;P01860-1				1.18756e+08
P01861;P01861-1	P01861;P01861-1				3.25152e+08
P01871;P01871-1	P01871;P0DOX6;P01871-1				2.88456e+07
P01876;P01876-1	P01876;P01876-1				9.5714e+08
P01903;P01906	P01903;P01906				983708
P01911;P04440	P01911;P04440				4.41482e+06
P02144	P02144				2.48055e+06
P02452	P02452				4.34672e+07
P02461	P02461;P02461-2				2.55722e+07
P02511	P02511				8.42063e+06
P02647	P02647				8.17771e+09
P02649	P02649				9.80142e+09
P02652	P02652				1.35426e+09
P02654	P02654				1.35555e+08
P02655	P02655				2.53002e+07
P02656	P02656				1.72067e+08
P02671;P02671-2	P02671;P02671-2				5.34151e+08
P02675	P02675				5.57779e+08
P02679;P02679-2	P02679;P02679-2				2.53293e+08
P02741	P02741				506876
P02743	P02743				9.73931e+06
P02745	P02745				6.25123e+07
P02746	P02746				5.15289e+08
P02747	P02747				1.33442e+08
P02748	P02748				8.86088e+07
P02749	P02749				1.8591e+08
P02750	P02750				3.16095e+08
P02751;P02751-1;P02751-3;P02751-7	P02751;P02751-1;P02751-10;P02751-11;P02751-12;P02751-13;P02751-14;P02751-16;P02751-17;P02751-2;P02751-3;P02751-4;P02751-5;P02751-6;P02751-7;P02751-8;P02751-9				7.30551e+08
P02753	P02753				4.50982e+08
P02760	P02760				8.84918e+07
P02763	P02763				2.32051e+09
P02765	P02765				1.1142e+09
P02766	P02766				4.9609e+09
P02768	P02768				3.21416e+10
P02774;P02774-3	P02774;P02774-2;P02774-3				1.84017e+09
P02786	P02786				2.49972e+06
P02787	P02787				1.14872e+10
P02788;P02788-2	P02788;P02788-2				5.28358e+07
P02790	P02790				3.18942e+09
P02792	P02792				6.03789e+06
P02794	P02794				1.61273e+07
P03950	P03950				6.08942e+06
P03952	P03952				3.19558e+07
P04003	P04003				3.51666e+06
P04004	P04004				1.06177e+09
P04040	P04040				559567
P04062;P04062-2;P04062-4;P04062-5	P04062;P04062-2;P04062-4;P04062-5				5.19033e+06
P04066	P04066				1.56033e+07
P04070;P04070-2	P04070;P04070-2				9.87383e+06
P04075	P04075;P04075-2				1.02184e+08
P04080	P04080				8.00736e+06
P04085;P04085-2	P04085;P04085-2				2.09252e+07
P04114	P04114				7.78457e+06
P04156	P04156				7.47994e+08
P04179	P04179;P04179-2;P04179-3;P04179-4				2.85582e+07
P04180	P04180				7.2352e+07
P04196	P04196				2.827e+08
P04216	P04216				8.64975e+08
P04217	P04217;P04217-2				8.71933e+08
P04217-2	P04217-2				4.87678e+06
P04264	P04264				902195
P04271	P04271				5.37084e+06
P04275	P04275				1.7838e+07
P04278	P04278;P04278-2;P04278-3;P04278-4;P04278-5				8.94531e+06
P04406	P04406;P04406-2				7.24876e+07
P04439;P04439-2	P01893;P04439;P04439-2				3.18543e+06
P04746;P19961	P04746;P0DTE7;P0DTE8;P0DUB6;P19961;P19961-2;P04746-2				3.07079e+06
P04792	P04792				2.72608e+06
P05023;P05023-2;P05023-4	P05023;P05023-2;P05023-4				1.52803e+06
P05026;P05026-2	P05026;P05026-2				2.65969e+06
P05060	P05060				1.57925e+09
P05067;P05067-11;P05067-8	P05067;P05067-4;P05067-10;P05067-11;P05067-3;P05067-5;P05067-6;P05067-7;P05067-8;P05067-9				2.88142e+09
P05090	P05090				5.91521e+09
P05121;P05121-2	P05121;P05121-2				930350
P05154	P05154				1.51158e+07
P05155;P05155-3	P05155;P05155-2;P05155-3				2.05106e+09
P05156	P05156				3.74524e+07
P05160	P05160				6.69363e+06
P05362	P05362				4.00267e+06
P05408;P05408-2	P05408;P05408-2				9.90409e+08
P05413	P05413				2.38341e+06
P05451	P05451;P48304				2.30174e+06
P05452	P05452				3.19093e+08
P05543	P05543				5.01444e+07
P05546	P05546				1.59731e+08
P05556;P05556-2;P05556-3;P05556-4;P05556-5	P05556;P05556-2;P05556-5;P05556-3;P05556-4				1.3443e+07
P05937	P05937;P05937-2				1.09512e+07
P05997	P05997				3.30944e+06
P06276	P06276				1.50315e+07
P06280	P06280				1.52557e+06
P06307	P06307				6.57646e+07
P06310	P06310				2.21836e+08
P06312	P06312				1.54543e+08
P06331	P01824;P01825;P06331;A0A0C4DH41;P0DP06;P0DP08				8.42845e+07
P06396	P06396;P06396-2;P06396-3;P06396-4				2.18499e+09
P06396-2	P06396-2				1.82479e+07
P06681	P06681;P06681-2;P06681-3				9.18063e+07
P06703	P06703				7.16168e+06
P06727	P06727				9.38427e+08
P06733	P06733				1.89918e+07
P06744;P06744-2	P06744;P06744-2				1.43189e+07
P06865	P06865				3.73618e+07
P07093-2;P07093-3	P07093;P07093-2;P07093-3				1.52578e+07
P07108;P07108-2;P07108-3;P07108-4;P07108-5	P07108;P07108-2;P07108-3;P07108-4;P07108-5;P07108-6				2.55562e+07
P07195	P00338;P07195;P07864;Q6ZMR3;P00338-3;P00338-2;P00338-4;P00338-5				1.04295e+08
P07225	P07225				9.53254e+07
P07237	P07237				2.75407e+07
P07307;P07307-2;P07307-3	P07307;P07307-3;P07307-2				1.18304e+06
P07311	P07311				2.46978e+06
P07333	P07333;P07333-2				1.55841e+08
P07339	P07339				2.5366e+08
P07357	P07357				5.3121e+07
P07358	P07358				5.97767e+07
P07360	P07360				2.35646e+07
P07492	P07492;P07492-2;P07492-3				4.1242e+06
P07585	P07585				5.59305e+07
P07602;P07602-2;P07602-3	P07602;P07602-2;P07602-3				8.54219e+07
P07686	P07686				1.42049e+07
P07711	P07711;P07711-3				4.31653e+07
P07737	P07737				5.88634e+06
P07858	P07858				7.72426e+07
P07900;P07900-2	P07900;P08238;P07900-2				4.65078e+06
P07942	P07942				1.04657e+07
P07996	P07996				5.227e+06
P07998	P07998				3.79575e+07
P08123	P08123				8.4588e+07
P08174;P08174-2;P08174-3;P08174-4;P08174-5;P08174-6;P08174-7	P08174;P08174-2;P08174-3;P08174-4;P08174-5;P08174-6;P08174-7				6.28979e+07
P08185	P08185				2.13222e+08
P08195;P08195-2;P08195-3;P08195-4;P08195-5	P08195;P08195-4;P08195-2;P08195-3;P08195-5				1.6494e+07
P08253	P08253;P08253-2;P08253-3				4.125e+07
P08294	P08294				4.43997e+08
