Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_D11_129188366_repeat.mzML
P01619	P01619				4.86403e+08
P01700	P01700				2.93219e+07
P01701	P01701				1.74181e+07
P01705	P01705				2.85292e+06
P01709	P01699;P01700;P01706;P01709;P01721;P01703;A0A075B6J9;P0DOX8				2.52848e+07
P01714	P01714				8.80807e+06
P01717	P01717				7.49419e+07
P01721	P01721				4.09792e+06
P01742	P01742				2.19204e+07
P01768;P0DP02;P0DP03	P01768;P01772;P0DP02;P0DP03				1.98802e+07
P01780	P01780				4.70111e+07
P01814	P01814				2.15261e+06
P01817	P01817				9.7819e+06
P01833	P01833				3.5056e+06
P01834	P01834				4.32353e+08
P01857-1;P0DOX5	P01857;P01859;P0DOX5;P01857-1;P01859-1				4.21466e+09
P01859	P01859;P01859-1				8.18287e+08
P01860	P01860;P01860-1				1.02915e+08
P01861;P01861-1	P01861;P01861-1				1.01259e+08
P01871;P01871-1	P01871;P0DOX6;P01871-1				4.44414e+07
P01876;P01876-1	P01876;P01876-1				2.65933e+08
P01889	P01889;P04439;P04439-2				3.61865e+06
P01903;P01906	P01903;P01906				356832
P01911	P01911				5.52261e+06
P02144	P02144				1.7004e+06
P02452	P02452				3.78223e+07
P02461	P02461;P02461-2				1.18496e+07
P02462	P02462				7.91198e+07
P02511	P02511				3.05082e+06
P02647	P02647				2.70277e+09
P02649	P02649				6.862e+09
P02652	P02652				5.18214e+08
P02654	P02654				5.50749e+07
P02655	P02655				9.9093e+06
P02656	P02656				4.99719e+07
P02671	P02671;P02671-2				1.92289e+08
P02675	P02675				4.96595e+07
P02679;P02679-2	P02679;P02679-2				7.9608e+07
P02686;P02686-3;P02686-4;P02686-5;P02686-6	P02686;P02686-3;P02686-4;P02686-5;P02686-6				225252
P02741	P02741				6.65302e+06
P02743	P02743				6.31272e+06
P02745	P02745				3.03577e+08
P02746	P02746				3.35367e+08
P02747	P02747				4.39725e+08
P02748	P02748				6.73823e+07
P02749	P02749				1.00574e+08
P02750	P02750				1.90314e+08
P02751;P02751-1	P02751;P02751-1;P02751-10;P02751-11;P02751-12;P02751-13;P02751-14;P02751-16;P02751-17;P02751-2;P02751-3;P02751-4;P02751-5;P02751-6;P02751-7;P02751-8;P02751-9				4.23395e+08
P02753	P02753				2.12439e+08
P02760	P02760				7.97467e+07
P02763	P02763				2.05602e+09
P02765	P02765				5.82288e+08
P02766	P02766				6.37359e+09
P02768	P02768				2.39515e+10
P02774;P02774-3	P02774;P02774-2;P02774-3				7.13252e+08
P02786	P02786				2.11712e+06
P02787	P02787				7.66393e+09
P02788;P02788-2	P02788;P02788-2				5.02316e+06
P02790	P02790				1.14066e+09
P02792	P02792				4.51602e+06
P02794	P02794				9.41776e+06
P03950	P03950				4.80934e+06
P03951;P03951-2	P03951;P03951-2				3.3289e+06
P03952	P03952				1.56075e+07
P04003	P04003				1.87707e+06
P04004	P04004				4.33841e+08
P04040	P04040				331444
P04062;P04062-2;P04062-4;P04062-5	P04062;P04062-2;P04062-4;P04062-5				5.73157e+06
P04066	P04066				4.88844e+06
