Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/MagKiel_cohort_Sweden_speclib_OBO/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_A2_CSF_248-15.mzML
P05067;P05067-11;P05067-7;P05067-8;P05067-9	P05067;P05067-4;P05067-10;P05067-11;P05067-3;P05067-5;P05067-6;P05067-7;P05067-8;P05067-9				2.38003e+08
P05089;P05089-2;P05089-3	P05089;P05089-2;P05089-3				313056
P05090	P05090				1.99173e+09
P05107	P05107				252208
P05109	P05109				386325
P05121	P05121				567236
P05154	P05154				9.41864e+06
P05155;P05155-3	P05155;P05155-2;P05155-3				3.99782e+08
P05156	P05156				2.18252e+08
P05160	P05160				2.37873e+06
P05362	P05362				2.5097e+06
P05408;P05408-2	P05408;P05408-2				2.77763e+08
P05413	P05413				8.48202e+06
P05452	P05452				7.21205e+07
P05543	P05543				3.69125e+07
P05546	P05546				6.31948e+07
P05556;P05556-2;P05556-3;P05556-4;P05556-5	P05556;P05556-2;P05556-5;P05556-3;P05556-4				1.75642e+06
P05937	P05937;P05937-2				5.74893e+06
P05997	P05997				1.3743e+06
P06276	P06276				3.46394e+06
P06307	P06307				5.86735e+07
P06310	P06310				8.80483e+07
P06312	P06312				8.44538e+07
P06396	P06396;P06396-2;P06396-3;P06396-4				1.86818e+09
P06396-2	P06396-2				2.52674e+06
P06681	P06681;P06681-2;P06681-3				4.25336e+07
P06702	P06702				1.7105e+06
P06703	P06703				3.43935e+06
P06727	P06727				1.8675e+08
P06733	P06733;P06733-2				9.63583e+06
P06744;P06744-2	P06744;P06744-2				3.07296e+06
P06753;P06753-2;P06753-3;P06753-4;P06753-5;P06753-6;P67936;P67936-2	P06753;P07951;P09493;P09493-10;P67936;P07951-2;P09493-5;P06753-2;P06753-3;P09493-2;P09493-3;P09493-4;P09493-6;P09493-7;P09493-8;P09493-9;P06753-4;P06753-5;P06753-6;P07951-3;P67936-2				3.2417e+06
P06865	P06865				7.16196e+06
P07093-2;P07093-3	P07093;P07093-2;P07093-3				4.08061e+06
P07108;P07108-2;P07108-3;P07108-4;P07108-5	P07108;P07108-2;P07108-3;P07108-4;P07108-5;P07108-6				2.04667e+07
P07195	P00338;P07195;P07864;Q6ZMR3;P00338-3;P00338-2;P00338-4;P00338-5				3.97893e+07
P07196	P07196				338138
P07225	P07225				5.57026e+07
P07237	P07237				1.20839e+06
P07311	P07311				2.94178e+06
P07333	P07333;P07333-2				4.99521e+07
P07339	P07339				3.42455e+07
P07357	P07357				1.52678e+07
P07358	P07358				1.48033e+07
P07360	P07360				1.11383e+07
P07451	P07451				57538.4
P07492	P07492;P07492-2;P07492-3				1.05969e+06
P07585	P07585				1.12613e+07
P07602;P07602-2;P07602-3	P07602;P07602-2;P07602-3				2.54626e+07
P07686	P07686				5.47385e+06
P07711	P07711;P07711-3				1.07289e+07
P07737	P07737				5.43645e+06
P07858	P07858				1.47648e+07
P07900;P07900-2	P07900;P07900-2				1.3348e+06
P07942	P07942				6.38226e+06
P07996	P07996;P07996-2				2.87217e+06
P07998	P07998				1.51657e+07
P08123	P08123				2.04304e+07
P08174;P08174-2;P08174-3;P08174-4;P08174-5;P08174-6;P08174-7	P08174;P08174-2;P08174-3;P08174-4;P08174-5;P08174-6;P08174-7				2.65149e+07
P08185	P08185				1.11162e+08
P08195;P08195-2;P08195-3;P08195-4;P08195-5	P08195;P08195-4;P08195-2;P08195-3;P08195-5				2.33187e+07
P08236;P08236-2;P08236-3	P08236;P08236-2;P08236-3				187127
P08238	P07900;P08238;P07900-2				1.41564e+06
P08253	P08253;P08253-2;P08253-3				2.32542e+07
P08294	P08294				7.10108e+07
P08493-2	P08493;P08493-2				6.22274e+07
P08571	P08571				1.96347e+08
P08572	P08572				5.4826e+06
P08581;P08581-2	P08581;P08581-2				1.41332e+06
P08582	P08582;P08582-2				1.91548e+06
P08603	P08603				9.33576e+07
P08637	P08637				5.93387e+06
P08670	P08670;P17661				3.03129e+06
P08697	P08697;P08697-2				9.90271e+07
P08758	P08758				1.69896e+06
P08779	P08779				1.60692e+06
P09104	P09104;P09104-2				1.03441e+07
P09172	P09172				186232
P09211	P09211				3.95799e+06
P09382	P09382				8.85465e+06
P09417	P09417;P09417-2				9.48675e+06
P09486	P09486				8.37147e+07
P09603	P09603;P09603-2;P09603-3				3.0691e+07
P09619	P09619;P09619-2				4.36258e+06
P09622	P09622;P09622-2				3.04889e+06
P09668	P09668				1.84836e+07
P09871	P09871				1.02517e+08
P09936	P09936				3.73194e+06
P09958	P09958				5.58875e+06
P09960;P09960-2;P09960-3;P09960-4	P09960;P09960-2;P09960-3;P09960-4				68187.7
P09972	P04075;P09972;P04075-2				3.72303e+07
P0C0L4;P0C0L4-2	P0C0L4;P0C0L4-2				1.32918e+08
P0C0L5	P0C0L4;P0C0L5;P0C0L4-2				5.33826e+08
P0C6S8	P0C6S8				1.42916e+06
P0CG47;P0CG48	P0CG47;P0CG48;P62979;P62987				1.41951e+08
P0DJI8;P0DJI9	P0DJI8;P0DJI9				862784
P0DMQ5	P0DMQ5				2.36286e+07
P0DMV8;P0DMV8-2;P0DMV9	P0DMV8;P0DMV9;P0DMV8-2				3.84723e+06
P0DOX2	P01876;P01877;P01876-1;P01877-1;P0DOX2				4.53467e+08
P0DOX3	P0DOX3				2.192e+07
P0DOX5	P0DOX5				2.29428e+09
P0DOX7	P01834;P0DOX7				1.87212e+08
P0DOY2;P0DOY3	P0DOY2;P0DOY3				2.2944e+08
P0DP08	P01824;P01825;P06331;A0A0C4DH41;P0DP06;P0DP08				4.42617e+06
P0DP23;P0DP24;P0DP25	P0DP23;P0DP24;P0DP25;P27482				1.88249e+06
P0DP58	P0DP58				1.32948e+08
P0DTE1	P0DTE1				2.18546e+06
P0DTE7;P0DTE8;P0DUB6	P04746;P0DTE7;P0DTE8;P0DUB6;P19961;P19961-2;P04746-2				1.22633e+06
P10124	P10124				4.92741e+06
P10153	P10153				8.00988e+06
P10253	P10253				2.27336e+06
P10321-2	P10321;P10321-2				1.11597e+06
P10451-3	P10451-3				3.0411e+07
P10451-5	P10451;P10451-4;P10451-5				2.6976e+08
P10451;P10451-4	P10451;P10451-4				2.25596e+06
P10586;P10586-2	P10586;P23468;P10586-2;P23468-3;P23468-4;P23468-5;P23468-6;P23468-7				9.56658e+06
P10599	P10599;P10599-2				1.08786e+07
P10619;P10619-2	P10619;P10619-2				884982
P10636-2;P10636-6	P10636;P10636-8;P10636-6;P10636-2;P10636-3;P10636-4;P10636-5;P10636-7;P10636-9				2.00061e+06
P10643	P10643				5.80503e+07
P10644;P10644-2	P10644;P10644-2				598201
P10645	P10645				6.80628e+08
P10721;P10721-2	P10721;P10721-2				4.93586e+06
P10768	P10768				2.09317e+06
P10909-6	P10909;P10909-4;P10909-6;P10909-2;P10909-3;P10909-5				2.70766e+09
P10915	P10915				315894
P11021	P11021				7.76467e+06
P11047	P11047				8.58053e+06
P11117	P11117				1.57745e+06
P11142	P11142				6.89553e+06
P11279	P11279;P11279-2				8.31445e+06
P11362-21;P11362-7	P11362;P11362-10;P11362-11;P11362-12;P11362-13;P11362-14;P11362-16;P11362-18;P11362-19;P11362-2;P11362-20;P11362-21;P11362-3;P11362-4;P11362-5;P11362-6;P11362-7;P11362-8;P11362-9				1.59567e+07
P11597;P11597-2	P11597;P11597-2				678446
P11684	P11684				1.47921e+06
P11717	P11717				2.40651e+06
P12107;P12107-2;P12107-3;P12107-4	P12107;P12107-2;P12107-3;P12107-4				321126
P12109	P12109				3.32233e+07
P12110	P12110;P12110-2;P12110-3				3.19457e+06
P12111	P12111;P12111-2;P12111-4				1.18677e+07
P12111-4	P12111-4				1.8096e+06
P12259	P12259				1.86439e+07
P12272;P12272-2;P12272-3	P12272;P12272-2;P12272-3				1.93572e+06
P12273	P12273				2.16777e+06
P12277	P12277				4.72595e+06
P12314;Q92637;Q92637-3	P12314;Q92637;Q92637-3				8.17607e+06
P12318;P12318-2	P12318;P31994;P31995;P12318-2;P31994-2;P31994-3;P31994-4;P31994-5;P31995-2;P31995-3;P31995-4				4.70861e+06
P12532;P12532-2;P17540	P12532;P17540;P12532-2				1.67364e+06
P12821;P12821-2	P12821;P12821-3;P12821-2;P12821-4				1.75258e+06
P12830;P12830-2	P12830;P12830-2				1.47455e+06
P12955;P12955-2	P12955;P12955-2;P12955-3				1.54692e+06
P13284	P13284				1.47708e+06
P13473;P13473-2;P13473-3	P13473;P13473-2;P13473-3				3.60113e+07
P13489	P13489				1.51776e+06
P13497;P13497-2;P13497-3;P13497-4;P13497-5;P13497-6	P13497;P13497-2;P13497-3;P13497-4;P13497-5;P13497-6				3.85953e+06
P13521	P13521				8.21913e+07
P13591	P13591;P13591-1;P13591-3;P13591-4;P13591-5;P13591-6				2.05423e+08
P13591-3	P13591-1;P13591-3;P13591-4				3.703e+07
P13598	P13598				3.43924e+06
P13611;P13611-5	P13611;P13611-2;P13611-3;P13611-4;P13611-5				2.10455e+07
P13637;P13637-2;P13637-3	P13637;P13637-2;P13637-3				1.37429e+06
P13639	P13639				903733
P13645	P13645				1.02127e+08
P13646;P13646-2;P13646-3	P13646;P19012;P13646-2;P13646-3				1.71301e+06
P13647	P13647				1.34901e+07
P13667	P13667				1.12003e+06
P13671	P13671				1.85624e+07
P13693	P13693				166865
P13796	P13796;P13796-2				4.78933e+06
P13797;P13797-2;P13797-3	P13797;P13797-2;P13797-3				1.38337e+06
P13987;P13987-2	P13987;P13987-2				7.00455e+07
