Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/MagKiel_cohort_Sweden_speclib_OBO/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_D2_CSF_398-13.mzML
Q86X29;Q86X29-2;Q86X29-3;Q86X29-4;Q86X29-5;Q86X29-6	Q86X29;Q86X29-2;Q86X29-3;Q86X29-4;Q86X29-5;Q86X29-6				5.01506e+06
Q86XR7-2;Q9Y3B3;Q9Y3B3-2	Q9Y3B3;Q86XR7-2;Q9Y3B3-2				1.00162e+06
Q86Y38	Q86Y38				3.88987e+06
Q86Y82	Q86Y82				1.71753e+06
Q86YD3;Q86YD3-2;Q86YD3-4;Q86YD3-5	Q86YD3;Q86YD3-2;Q86YD3-3;Q86YD3-4;Q86YD3-5				1.23619e+07
Q86YT9;Q86YT9-2;Q86YT9-3;Q86YT9-4	Q86YT9;Q86YT9-2;Q86YT9-3;Q86YT9-4				812938
Q86YZ3	Q86YZ3				1.85282e+06
Q8IUC8	Q10472;Q8IUC8;Q8IUC8-3;Q8IUC8-2				5.93976e+06
Q8IUK5;Q8IUK5-2;Q8IUK5-3	Q8IUK5;Q8IUK5-2;Q8IUK5-3;Q8IUK5-4				2.59476e+07
Q8IUK8	Q8IUK8				1.42739e+07
Q8IUX7	Q8IUX7;Q8IUX7-2				7.82401e+06
Q8IV08	Q8IV08				2.20019e+07
Q8IW52	Q8IW52				7.73244e+06
Q8IWT1	Q8IWT1;Q8IWT1-2				2.10476e+06
Q8IWU5;Q8IWU5-2	Q8IWU5;Q8IWU5-2				2.54703e+07
Q8IWU6	Q8IWU6				169681
Q8IWV2	Q8IWV2				6.09618e+06
Q8IWY4	Q8IWY4				1.21776e+06
Q8IWZ6;Q8IWZ6-2	Q8IWZ6;Q8IWZ6-2				1.02978e+06
Q8IXL6	Q8IXL6;Q8IXL6-2				3.77101e+06
Q8IYJ0;Q8IYJ0-2	Q8IYJ0;Q8IYJ0-2				4.16695e+07
Q8IYS5-2;Q8IYS5-3;Q8IYS5-6	Q8IYS5;Q8IYS5-2;Q8IYS5-3;Q8IYS5-4;Q8IYS5-5;Q8IYS5-6;Q8IYS5-7				3.32992e+06
Q8IZA0;Q8IZA0-2	Q8IZA0;Q8IZA0-2				5.13882e+06
Q8IZJ1;Q8IZJ1-2	Q8IZJ1;Q8IZJ1-2				1.43363e+06
Q8IZJ3;Q8IZJ3-2	Q8IZJ3;Q8IZJ3-2				374127
Q8IZP7	Q8IZP7				9.45808e+06
Q8IZS8	Q8IZS8;Q8IZS8-2;Q8IZS8-3				3.81289e+06
Q8N111	Q8N111				1.7068e+06
Q8N114;Q8N114-2	Q8N114;Q8N114-2				3.59908e+07
Q8N126;Q8N126-2	Q8N126;Q8N126-2				3.38122e+07
Q8N128;Q8N128-2	Q8N128;Q8N128-2				110668
Q8N129	Q8N129				287726
Q8N149;Q8N149-2;Q8N149-3;Q8N149-4	Q8N149;Q8N149-2;Q8N149-3;Q8N149-4				2.18835e+06
Q8N2Q7;Q8N2Q7-2	Q8N2Q7;Q8N2Q7-2				1.32527e+06
Q8N2S1;Q8N2S1-2;Q8N2S1-3	Q8N2S1;Q8N2S1-2;Q8N2S1-3				6.75196e+06
Q8N3D4	Q8N3D4				241164
Q8N3G9;Q8N3G9-2;Q8N3G9-3	Q8N3G9;Q8N3G9-2;Q8N3G9-3				151348
