Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/MagKiel_cohort_Sweden_speclib_OBO/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_C3_CSF_974-14.mzML
O75503	O75503				3.61244e+06
O75509	O75509				2.17365e+07
O75629	O75629				1.00671e+06
O75636;O75636-2	O75636;O75636-2				1.93327e+06
O75711	O75711				1.27667e+08
O75752	O75752				6.71764e+06
O75781;O75781-2	O75781;O75781-2				2.12896e+06
O75787;O75787-2	O75787;O75787-2				1.4863e+07
O75874	O75874				484558
O75882;O75882-2;O75882-3	O75882;O75882-2;O75882-3				1.12748e+07
O75973	O75973				752661
O75976	O75976				2.17825e+06
O76061	O76061				3.46413e+06
O76070	O76070;Q16143				1.65549e+06
O94760	O94760				7.76385e+06
O94766	O94766;Q9NPZ5				4.44104e+06
O94769	O94769;O94769-2				7.95053e+06
O94772;O94772-2	O94772;O94772-2				1.51802e+07
O94779;O94779-2;O94779-4	O94779;O94779-2;O94779-4				456504
O94856-11	O94856;O94856-10;O94856-11;O94856-12;O94856-13;O94856-3;O94856-4;O94856-5;O94856-6;O94856-7;O94856-8;O94856-9				2.73218e+07
O94856-12;O94856-4;O94856-9	O94856-12;O94856-4;O94856-9				3.77575e+06
O94910	O94910;O94910-2				6.64328e+06
O94919	O94919				2.36967e+07
O94933	O94933				1.38159e+06
O94973;O94973-2	O94973;O94973-2				203376
O94985	O94985				1.95589e+06
O94985-2	O94985;O94985-2				2.00462e+08
O94991	O94991;O94991-2				4.53467e+06
O95084;O95084-2	O95084;O95084-2				2.47215e+06
O95157	O95157				4.25545e+06
O95158	O95158				2.24842e+07
O95159	O95159				1.25386e+06
O95185;O95185-2	O95185;O95185-2				2.54144e+06
O95196;O95196-2	O95196;O95196-2				1.28461e+07
O95206;O95206-2	O95206;O95206-2				2.44699e+06
O95297;O95297-2;O95297-3;O95297-4	O95297;O95297-2;O95297-3;O95297-4				807866
O95336	O95336				150285
O95390	O95390				2.09002e+06
O95428;O95428-5;O95428-6	O95428;O95428-3;O95428-4;O95428-5;O95428-6				1.09668e+07
O95445	O95445;O95445-2				1.09915e+07
O95450;O95450-2	O95450;O95450-2				1.96592e+06
O95467	O95467				1.76865e+06
O95497	O95497				583916
O95502	O95502				8.21443e+07
O95633;O95633-2	O95633;O95633-2				2.35928e+06
O95841	O95841				1.67103e+06
O95865	O95865				1.07702e+06
O95881	O95881				83411.5
O95967	O95967				8.05277e+06
O95970;O95970-3	O95970;O95970-3				630116
O95980	O95980				9.07611e+06
O95998	O95998;O95998-4				1.46168e+07
P00338;P00338-3	P00338;P00338-3;P00338-4				1.1294e+07
P00352	P00352				398706
P00390;P00390-2;P00390-3	P00390;P00390-2;P00390-3;P00390-4;P00390-5				1.82079e+06
P00441	P00441				2.16071e+08
P00450	P00450				1.81372e+08
P00488	P00488				1.08117e+06
P00492	P00492				3.12414e+06
P00505	P00505;P00505-2				7.13348e+06
P00533;P00533-3;P00533-4	P00533;P00533-2;P00533-3;P00533-4				731859
P00558	P00558;P00558-2				3.983e+06
P00734	P00734				3.57701e+07
P00736	P00736				5.4842e+07
P00738	P00738;P00738-2				3.1872e+08
P00739	P00739;P00739-2				1.12611e+08
P00740;P00740-2	P00740;P00740-2				5.64061e+06
P00742	P00742				1.29783e+07
P00746	P00746				2.83051e+07
P00747	P00747				1.02523e+08
P00748	P00748				2.35725e+07
P00751	P00751;P00751-2				1.33557e+08
P00915	P00915				3.01024e+06
P01008	P01008				2.91418e+08
P01009	P01009;P01009-2;P01009-3				2.44171e+09
P01011	P01011				1.23366e+09
P01019	P01019				6.57344e+08
P01023	P01023				3.66894e+08
P01024	P01024				1.40371e+09
P01031	P01031				1.94447e+07
P01033	P01033				7.55515e+07
