Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/MagKiel_cohort_Sweden_speclib_OBO/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_E7_CSF_414.mzML
Q9Y279;Q9Y279-2	Q9Y279;Q9Y279-2				596863
Q9Y287	Q9Y287;Q9Y287-2				2.45585e+06
Q9Y2E5	Q9Y2E5;Q9Y2E5-2				743068
Q9Y2G1;Q9Y2G1-2	Q9Y2G1;Q9Y2G1-2				43375.8
Q9Y2I2;Q9Y2I2-1;Q9Y2I2-2;Q9Y2I2-4;Q9Y2I2-5;Q9Y2I2-6	Q9Y2I2;Q9Y2I2-1;Q9Y2I2-2;Q9Y2I2-4;Q9Y2I2-5;Q9Y2I2-6				3.4047e+06
Q9Y2T3;Q9Y2T3-3	Q9Y2T3;Q9Y2T3-2;Q9Y2T3-3				5.824e+06
Q9Y4C0-4	Q9HDB5-3;Q9HDB5-4;Q9Y4C0-4				1.80348e+07
Q9Y4L1	Q9Y4L1				5.27594e+06
Q9Y5F6-2	Q9Y5F6;Q9Y5F6-2				1.25161e+07
Q9Y5I4;Q9Y5I4-2	Q9Y5I4;Q9Y5I4-2				2.03549e+06
Q9Y5L2	Q9Y5L2				1.2415e+06
Q9Y5Y7	Q9Y5Y7				3.83311e+06
Q9Y617	Q9Y617;Q9Y617-2				2.13369e+06
Q9Y639;Q9Y639-1;Q9Y639-3;Q9Y639-4;Q9Y639-5	Q9Y639;Q9Y639-1;Q9Y639-3;Q9Y639-4;Q9Y639-5				1.04045e+06
Q9Y646	Q9Y646				8.56542e+06
Q9Y653;Q9Y653-2;Q9Y653-3	Q9Y653;Q9Y653-2;Q9Y653-3;Q9Y653-4;Q9Y653-5				1.07757e+07
Q9Y696	Q9Y696				734254
Q9Y6N6	Q9Y6N6				327101
Q9Y6N7;Q9Y6N7-2;Q9Y6N7-4	Q9Y6N7;Q9Y6N7-2;Q9Y6N7-3;Q9Y6N7-4;Q9Y6N7-5;Q9Y6N7-6				1.93676e+07
Q9Y6N8	Q9Y6N8				2.08107e+06
Q9Y6R7	Q9Y6R7				1.02549e+07
Q9Y6X5	Q9Y6X5				1.08819e+06
Q9Y6Y8;Q9Y6Y8-2	Q9Y6Y8;Q9Y6Y8-2				1.546e+07
