Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/MagKiel_cohort_Sweden_speclib_OBO/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_B6_CSF_257-15.mzML
P02743	P02743				1.11752e+07
P02745	P02745				7.04331e+07
P02746	P02746				1.33516e+08
P02747	P02747				7.10478e+07
P02748	P02748				5.95918e+07
P02749	P02749				1.5637e+08
P02750	P02750				2.86892e+08
P02751;P02751-1	P02751;P02751-1;P02751-10;P02751-11;P02751-12;P02751-13;P02751-14;P02751-16;P02751-17;P02751-2;P02751-3;P02751-4;P02751-5;P02751-6;P02751-7;P02751-8;P02751-9				2.82665e+08
P02753	P02753				1.54684e+08
P02760	P02760				1.52765e+08
P02763	P02763				1.90033e+09
P02765	P02765				5.67867e+08
P02766	P02766				4.97159e+09
P02768	P02768				1.79467e+10
P02774;P02774-3	P02774;P02774-2;P02774-3				6.32929e+08
P02786	P02786				1.51241e+06
P02787	P02787				7.38744e+09
P02788;P02788-2	P02788;P02788-2				2.08425e+07
P02790	P02790				2.299e+09
P02792	P02792				2.16136e+06
P02794	P02794				3.59091e+06
P03950	P03950				3.74135e+06
P03951	P03951;P03951-2				5.23343e+06
P03952	P03952				1.17717e+07
P04003	P04003				4.8709e+06
P04004	P04004				3.63708e+08
P04040	P04040				289197
P04062;P04062-2;P04062-4;P04062-5	P04062;P04062-2;P04062-4;P04062-5				2.62209e+06
P04066	P04066				1.00819e+07
P04070;P04070-2	P04070;P04070-2				5.85194e+06
P04075	P04075;P04075-2				3.56371e+07
P04080	P04080				3.8071e+06
P04085;P04085-2	P04085;P04085-2				3.71606e+06
P04114	P04114				5.99278e+07
P04156	P04156				4.0185e+08
P04179	P04179;P04179-2;P04179-3;P04179-4				1.12202e+07
P04180	P04180				4.97499e+07
P04196	P04196				1.36078e+08
P04216	P04216				5.61238e+08
P04217	P04217;P04217-2				4.65662e+08
P04217-2	P04217-2				6.75875e+06
P04259;P48668	P04259;P48668				2.69095e+06
P04264	P04259;P04264				1.87987e+07
P04271	P04271				1.07565e+06
P04275	P04275				4.21324e+06
P04278	P04278;P04278-2;P04278-3;P04278-4;P04278-5				1.03229e+07
P04350;P07437;P68371	P04350;P07437;P68371				343407
P04406	P04406;P04406-2				2.10256e+07
P04430	P04430				367038
P04439;P04439-2	P04439;P04439-2				1.27872e+06
P04792	P04792				1.11344e+06
P04908;P0C0S5;P0C0S8;P16104;P20671;Q16777;Q6FI13;Q71UI9;Q71UI9-2;Q71UI9-5;Q7L7L0;Q8IUE6;Q93077;Q96KK5;Q96QV6;Q99878;Q9BTM1;Q9BTM1-2	P04908;P0C0S5;P0C0S8;P16104;P20671;Q16777;Q6FI13;Q71UI9;Q7L7L0;Q8IUE6;Q93077;Q96KK5;Q96QV6;Q99878;Q9BTM1;Q71UI9-2;Q71UI9-5;Q9BTM1-2				780391
P05023;P05023-2;P05023-4	P05023;P05023-2;P05023-4				487369
P05026;P05026-2	P05026;P05026-2				951595
P05060	P05060				5.66126e+08
P05067;P05067-11;P05067-7;P05067-8;P05067-9	P05067;P05067-4;P05067-10;P05067-11;P05067-3;P05067-5;P05067-6;P05067-7;P05067-8;P05067-9				7.75134e+08
P05090	P05090				2.14434e+09
P05109	P05109				155512
P05154	P05154				1.6083e+07
P05155;P05155-3	P05155;P05155-2;P05155-3				7.80369e+08
P05156	P05156				5.57724e+07
P05160	P05160				1.58893e+06
P05362	P05362				1.20372e+06
P05408;P05408-2	P05408;P05408-2				2.51982e+08
P05413	P05413				3.21688e+06
P05451	P05451;P48304				3.64407e+06
P05452	P05452				7.46629e+07
P05543	P05543				4.60103e+07
P05546	P05546				1.1483e+08
P05556;P05556-2;P05556-3;P05556-4;P05556-5	P05556;P05556-2;P05556-5;P05556-3;P05556-4				1.56053e+06
P05937	P05937;P05937-2				6.6134e+06
P05997	P05997				959438
P06276	P06276				5.94441e+06
P06280	P06280				732500
P06307	P06307				4.66154e+07
P06310	P06310				1.77908e+08
P06312	P06312				1.57728e+08
P06331	P01824;P01825;P06331;A0A0C4DH41;P0DP06;P0DP08				3.73346e+07
P06396	P06396;P06396-2;P06396-3;P06396-4				6.37334e+08
P06396-2	P06396-2				2.63616e+06
P06681	P06681;P06681-2;P06681-3				2.87505e+07
P06702	P06702				1.30498e+06
P06727	P06727				3.8427e+08
P06732	P06732				2.85768e+06
P06733	P06733;P06733-2				1.203e+07
P06744;P06744-2	P06744;P06744-2				3.06765e+06
P06753;P06753-2;P06753-3;P06753-4;P06753-5;P06753-6;P06753-7;P67936;P67936-2	P06753;P07951;P09493;P09493-10;P67936;P07951-2;P09493-5;P06753-2;P06753-3;P09493-2;P09493-3;P09493-4;P09493-6;P09493-7;P09493-8;P09493-9;P06753-4;P06753-5;P06753-6;P06753-7;P07951-3;P67936-2				1.24396e+06
P06865	P06865				1.12996e+07
P07093-2;P07093-3	P07093;P07093-2;P07093-3				4.01164e+06
P07108;P07108-2;P07108-3;P07108-4;P07108-5	P07108;P07108-2;P07108-3;P07108-4;P07108-5;P07108-6				1.13109e+07
P07195	P00338;P07195;P07864;Q6ZMR3;P00338-3;P00338-2;P00338-4;P00338-5				3.9592e+07
P07196	P07196				85805.8
P07225	P07225				4.91509e+07
P07237	P07237				1.43309e+06
P07307;P07307-2;P07307-3	P07307;P07307-3;P07307-2				403146
P07311	P07311				2.84471e+06
P07333	P07333;P07333-2				5.50608e+07
P07339	P07339				7.77824e+07
P07357	P07357				2.33742e+07
P07358	P07358				2.04471e+07
P07359	P07359				1.11119e+06
P07360	P07360				1.32909e+07
P07451	P07451				1.73339e+07
P07492	P07492;P07492-2;P07492-3				975054
P07585	P07585				1.76933e+07
P07602;P07602-2;P07602-3	P07602;P07602-2;P07602-3				3.02373e+07
