Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/MagKiel_cohort_Sweden_speclib_OBO/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_F6_CSF_134.mzML
Q6UXZ4;Q6UXZ4-2	Q6UXZ4;Q6UXZ4-2				4.02707e+06
Q6UY14;Q6UY14-2;Q6UY14-3	Q6UY14;Q6UY14-3;Q6UY14-2				633981
Q6YHK3	Q6YHK3;Q6YHK3-2;Q6YHK3-4				1.31312e+07
Q6ZMI3;Q6ZMI3-2	Q6ZMI3;Q6ZMI3-2				3.85657e+06
Q6ZMP0;Q6ZMP0-2	Q6ZMP0;Q6ZMP0-2;Q6ZMP0-3;Q6ZMP0-4				577808
Q6ZN30;Q6ZN30-2	Q6ZN30;Q6ZN30-2				1.1542e+06
Q6ZN44;Q6ZN44-2	Q6ZN44;Q6ZN44-2				447314
Q6ZRP7	Q6ZRP7				1.67466e+06
Q6ZSJ9;Q6ZSJ9-2;Q6ZSJ9-3	Q6ZSJ9;Q6ZSJ9-2;Q6ZSJ9-3				2.89795e+07
Q6ZU80	Q6ZU80				243220
Q6ZVL6	Q6ZVL6				1.3194e+06
Q6ZVL6-2	Q6ZVL6;Q6ZVL6-2				5.26951e+06
Q71H61	Q71H61				189818
Q76KP1	Q76KP1				2.27833e+06
Q76LX8;Q76LX8-2;Q76LX8-3;Q76LX8-4	Q76LX8;Q76LX8-2;Q76LX8-3;Q76LX8-4				39708
Q7KYR7;Q7KYR7-1;Q7KYR7-4;Q7KYR7-5;Q7KYR7-6;Q8WVV5;Q8WVV5-2;Q8WVV5-3	Q7KYR7;Q8WVV5;Q7KYR7-4;Q7KYR7-1;Q7KYR7-5;Q7KYR7-6;Q8WVV5-2;Q8WVV5-3				496697
Q7L014	Q7L014				3.36964e+07
Q7L0X0	Q7L0X0				1.70998e+06
Q7L985	Q7L985				7.33225e+06
Q7LFX5	Q7LFX5				4.18938e+06
Q7LGC8	Q7LGC8				797725
Q7Z304	Q7Z304				513752
Q7Z3B1	Q7Z3B1;Q7Z3B1-2				1.04423e+08
Q7Z3D4	Q7Z3D4				486180
Q7Z553;Q7Z553-3	Q7Z553;Q7Z553-2;Q7Z553-3				5.54244e+06
Q7Z5A7;Q7Z5A7-2	Q7Z5A7;Q7Z5A7-2;Q7Z5A7-3				1.25378e+07
Q7Z5L0	Q7Z5L0				1.25373e+06
Q7Z5L7;Q7Z5L7-2;Q7Z5L7-3	Q7Z5L7;Q7Z5L7-2;Q7Z5L7-3;Q7Z5L7-4				1.67366e+06
Q7Z5N4;Q7Z5N4-3	Q7Z5N4;Q7Z5N4-3				86356.2
Q7Z7G0;Q7Z7G0-2;Q7Z7G0-3;Q7Z7G0-4	Q7Z7G0;Q7Z7G0-2;Q7Z7G0-3;Q7Z7G0-4				1.58357e+06
Q7Z7H5;Q7Z7H5-3	Q7Z7H5;Q7Z7H5-2;Q7Z7H5-3				1.93926e+06
Q7Z7M0	Q7Z7M0;Q7Z7M0-2				3.56599e+07
Q7Z7M9	Q7Z7M9				8.98465e+06
Q86SF2	Q86SF2				6.13595e+06
Q86SJ2	Q86SJ2				157892
Q86SR1	Q86SR1;Q86SR1-2;Q86SR1-3				3.60429e+06
Q86TH1	Q86TH1				298558
Q86TY3;Q86TY3-2	Q86TY3;Q86TY3-2				1.16627e+07
Q86UD1	Q86UD1				1.24547e+07
Q86UN2	Q86UN2				5.91925e+06
Q86UN3	Q86UN3				2.18101e+07
Q86UP0;Q86UP0-2	Q86UP0;Q86UP0-2				3.0487e+06
Q86UW8	Q86UW8				2.80294e+06
Q86UX2	Q86UX2;Q86UX2-2;Q86UX2-3				8.6692e+06
Q86V85	Q86V85				789209
Q86VB7;Q86VB7-2;Q86VB7-3;Q86VB7-4	Q86VB7;Q86VB7-2;Q86VB7-3;Q86VB7-4				7.39622e+06
Q86VR8	Q86VR8				1.49037e+06
Q86VV8;Q86VV8-2;Q86VV8-3;Q86VV8-4	Q86VV8;Q86VV8-2;Q86VV8-4;Q86VV8-3				2.35971e+06
Q86VZ4	Q86VZ4				1.35185e+07
Q86X29;Q86X29-3;Q86X29-4;Q86X29-5;Q86X29-6	Q86X29;Q86X29-2;Q86X29-3;Q86X29-4;Q86X29-5;Q86X29-6				4.57031e+06
Q86XR7-2;Q9Y3B3;Q9Y3B3-2	Q9Y3B3;Q86XR7-2;Q9Y3B3-2				891868
Q86Y38	Q86Y38				1.84105e+06
Q86Y82	Q86Y82				1.51437e+06
Q86YD3;Q86YD3-2;Q86YD3-4;Q86YD3-5	Q86YD3;Q86YD3-2;Q86YD3-3;Q86YD3-4;Q86YD3-5				9.23606e+06
Q86YT9;Q86YT9-2;Q86YT9-3;Q86YT9-4	Q86YT9;Q86YT9-2;Q86YT9-3;Q86YT9-4				737953
Q86YZ3	Q86YZ3				97100.6
Q8IUC8	Q8IUC8;Q8IUC8-3;Q8IUC8-2				2.95052e+06
Q8IUK5;Q8IUK5-2;Q8IUK5-3	Q8IUK5;Q8IUK5-2;Q8IUK5-3;Q8IUK5-4				7.38078e+06
Q8IUK8	Q8IUK8				1.66793e+07
Q8IUX7	Q8IUX7;Q8IUX7-2				9.25952e+06
Q8IV08	Q8IV08				1.54765e+07
Q8IW52	Q8IW52				9.44189e+06
Q8IWT1	Q8IWT1;Q8IWT1-2				1.12333e+06
Q8IWU5;Q8IWU5-2	Q8IWU5;Q8IWU5-2				3.77601e+07
Q8IWV2	Q8IWV2				6.69362e+06
Q8IWY4	Q8IWY4				787560
Q8IWZ6;Q8IWZ6-2	Q8IWZ6;Q8IWZ6-2				1.46706e+06
Q8IXL6	Q8IXL6;Q8IXL6-2				4.72326e+06
Q8IYJ0;Q8IYJ0-2	Q8IYJ0;Q8IYJ0-2				9.55123e+07
Q8IYS5-2;Q8IYS5-3;Q8IYS5-6	Q8IYS5;Q8IYS5-2;Q8IYS5-3;Q8IYS5-4;Q8IYS5-5;Q8IYS5-6;Q8IYS5-7				3.92532e+06
Q8IZA0;Q8IZA0-2	Q8IZA0;Q8IZA0-2				5.59503e+06
Q8IZJ1;Q8IZJ1-2	Q8IZJ1;Q8IZJ1-2				1.47768e+06
Q8IZJ3;Q8IZJ3-2	Q8IZJ3;Q8IZJ3-2				444187
Q8IZP7	Q8IZP7				6.67352e+06
Q8IZS8	Q8IZS8;Q8IZS8-2;Q8IZS8-3				6.08045e+06
Q8N111	Q8N111				118111
Q8N114;Q8N114-2	Q8N114;Q8N114-2				3.98615e+07
Q8N126;Q8N126-2	Q8N126;Q8N126-2				4.21462e+07
